"總目","綱領編號","綱領","機構","2016-17","2017-18","2017-18","2018-19"
"21",1,"行政長官辦公室","",86.9,92.9,91.7,90.9
"21",2,"行政會議","",23.6,24.5,25.6,26.1
"22",1,"漁農事宜及新鮮副食品批發市場","",284.2,453.0,344.9,449.1
"22",2,"自然護理及郊野公園","",646.3,715.5,699.2,792.4
"22",3,"動植物及漁業監管及技術服務","",319.7,353.3,354.3,407.0
"23",1,"醫療輔助服務","",96.4,97.9,97.9,100.8
"24",1,"審核帳目是否妥善的工作","",56.0,57.5,57.6,62.9
"24",2,"衡工量值式審計工作","",108.4,111.7,113.0,110.8
"25",1,"監察及諮詢服務","",302.2,302.2,311.8,327.4
"25",2,"設施保養","",1033.4,1032.0,1040.1,1097.6
"25",3,"設施發展","",697.1,708.8,720.7,752.7
"26",1,"貿易統計","",172.7,176.2,175.0,181.9
"26",2,"社會統計","",258.1,126.2,117.8,110.5
"26",3,"國民經濟核算及國際收支平衡統計","",84.2,87.7,87.3,90.9
"26",4,"綜合統計服務","",33.0,33.8,32.4,34.0
"26",5,"物價／工業／服務業統計","",145.8,153.6,148.9,158.5
"26",6,"勞工統計","",84.1,88.3,89.0,96.8
"27",1,"民眾安全服務","",106.1,109.5,109.5,116.9
"28",1,"飛行標準","",112.0,126.8,114.2,135.2
"28",2,"機場安全標準","",51.7,57.1,51.3,59.9
"28",3,"航空交通管理","",423.8,451.9,431.5,482.2
"28",4,"航空交通工程服務","",315.3,304.9,358.0,352.8
"28",5,"航班事務及安全管理","",45.2,51.9,49.6,56.0
"28",6,"飛機乘客離境稅的管理","",2.0,2.1,2.1,2.1
"30",1,"監獄管理","",2745.4,2804.9,2810.3,2895.7
"30",2,"重新融入社會","",1030.4,1034.2,1042.9,1073.5
"31",1,"管制及執法","",2563.4,2706.8,2666.7,3415.4
"31",2,"緝毒調查","",209.3,212.3,227.8,241.1
"31",3,"保護知識產權及消費者權益","",330.5,333.8,338.1,349.2
"31",4,"保障稅收及徵收稅款","",194.0,198.3,200.3,210.4
"31",5,"貿易管制","",200.8,201.7,204.7,210.2
"33",1,"旅遊及康樂發展","",48.9,49.4,49.8,51.2
"33",2,"港口及海事設施","",270.7,244.7,232.8,236.7
"33",3,"提供土地及基礎設施","",521.7,592.1,606.3,668.2
"33",4,"斜坡安全及岩土工程標準","",370.6,377.6,378.9,389.1
"33",5,"綠化及工程技術服務","",134.9,136.6,138.8,149.5
"33",6,"監管採礦、採石及爆炸品","",78.4,75.9,78.9,76.2
"33",7,"管理拆建物料","",1175.3,1332.1,1073.2,1369.9
"33",8,"就發展建議提供意見","",36.2,37.1,37.1,38.3
"37",1,"法定職責","",855.4,937.8,903.4,1286.4
"37",2,"預防疾病","受資助機構",95.6,98.6,98.7,97.6
"37",2,"預防疾病","政府機構",3367.3,4561.4,4356.0,5934.9
