"總目","綱領編號","綱領","機構","2015-16
(實際)
(百萬元)","2016-17
(原來預算)
(百萬元)","2016-17
(修訂)
(百萬元)","2017-18
(預算)
(百萬元)"
"21",1,"行政長官辦公室","",83.0,87.5,87.7,92.9
"21",2,"行政會議","",23.2,23.0,23.8,24.5
"22",1,"漁農事宜及新鮮副食品批發市場","",268.0,313.5,301.2,453.0
"22",2,"自然護理及郊野公園","",591.4,669.1,659.2,715.5
"22",3,"動植物及漁業監管及技術服務","",305.1,335.5,325.1,353.3
"23",1,"醫療輔助服務","",84.8,99.1,99.1,97.9
"24",1,"審核帳目是否妥善的工作","",52.2,55.5,55.3,57.5
"24",2,"衡工量值式審計工作","",106.2,105.6,109.6,111.7
"25",1,"監察及諮詢服務","",284.0,281.9,297.7,302.2
"25",2,"設施保養","",994.1,1010.5,1026.1,1032.0
"25",3,"設施發展","",666.5,683.6,704.3,708.8
"26",1,"貿易統計","",168.3,170.0,173.8,176.2
"26",2,"社會統計","",153.2,246.5,258.5,126.2
"26",3,"國民經濟核算及國際收支平衡統計","",80.1,83.8,85.6,87.7
"26",4,"綜合統計服務","",32.0,33.4,33.3,33.8
"26",5,"物價／工業／服務業統計","",153.9,152.6,150.8,153.6
"26",6,"勞工統計","",81.5,82.2,86.1,88.3
"27",1,"民眾安全服務","",99.4,106.4,106.6,109.5
"28",1,"飛行標準","",104.6,115.6,113.0,126.8
"28",2,"機場安全標準","",51.4,52.2,51.2,57.1
"28",3,"航空交通管理","",409.3,425.8,430.3,451.9
"28",4,"航空交通工程服務","",300.1,306.9,311.5,304.9
"28",5,"航班事務及安全管理","",42.5,43.2,49.0,51.9
"28",6,"飛機乘客離境稅的管理","",1.9,2.0,2.0,2.1
"30",1,"監獄管理","",2621.7,2643.0,2722.0,2804.9
"30",2,"重新融入社會","",1001.9,1012.8,1021.0,1034.2
"31",1,"管制及執法","",2417.0,2541.8,2606.4,2706.8
"31",2,"緝毒調查","",200.7,200.4,209.3,212.3
"31",3,"保護知識產權及消費者權益","",302.2,307.5,333.4,333.8
"31",4,"保障稅收及徵收稅款","",185.9,186.2,193.7,198.3
"31",5,"貿易管制","",186.6,196.2,201.5,201.7
"33",1,"旅遊及康樂發展","",46.8,47.7,49.3,49.4
"33",2,"港口及海事設施","",226.6,221.4,259.8,244.7
"33",3,"提供土地及基礎設施","",479.1,553.1,524.9,592.1
"33",4,"斜坡安全及岩土工程標準","",359.1,364.3,372.7,377.6
"33",5,"綠化及工程技術服務","",130.4,131.3,135.9,136.6
"33",6,"監管採礦、採石及爆炸品","",78.1,75.7,79.5,75.9
"33",7,"管理拆建物料","",918.4,1178.0,1180.0,1332.1
"33",8,"就發展建議提供意見","",35.1,35.7,36.4,37.1
"37",1,"法定職責","",750.2,870.9,891.0,937.8
"37",2,"預防疾病","受資助機構",87.1,94.6,96.4,98.6
"37",2,"預防疾病","政府機構",3010.2,3750.6,3383.2,4561.4
"37",3,"促進健康","受資助機構",96.8,99.0,100.3,94.0
"37",3,"促進健康","政府機構",269.7,317.2,305.5,314.6
"37",4,"醫療護理","受資助機構",3.3,3.4,3.4,3.5
"37",4,"醫療護理","政府機構",974.6,925.0,910.7,939.6
"37",5,"康復服務","",111.8,129.6,132.1,131.8
"37",6,"治療吸毒者","受資助機構",117.1,119.0,120.9,123.5
"37",6,"治療吸毒者","政府機構",56.3,42.5,41.1,44.5
"37",7,"公務員醫療及牙科服務","",1133.2,1429.2,1359.4,1521.9
"37",8,"任職醫院管理局公務員的人事管理","",8.8,9.1,9.5,9.6
"39",1,"雨水排放","",495.8,509.5,514.8,529.0
"39",2,"污水處理服務","",1897.6,2061.2,2080.2,2107.7
"42",1,"能源供應；電氣、氣體及核電安全","",136.3,141.5,147.8,145.8
"42",2,"機械裝置安全","",104.8,124.6,129.1,130.6
"42",3,"能源效益、節約能源及新能源","",130.2,144.3,120.4,308.9
"42",4,"中央式服務及特別支援","",79.3,79.0,81.4,82.9
"44",1,"廢物","",2220.4,2588.6,2356.0,3148.8
"44",2,"空氣","",2839.7,2371.9,2087.1,2440.8
"44",3,"噪音","",117.6,123.3,124.8,127.4
"44",4,"水","",283.5,292.8,293.5,301.6
"44",5,"環境評估及規劃","",97.1,102.9,104.0,107.3
"44",6,"自然保育","",6.8,7.6,7.8,7.8
"45",1,"消防服務","",3421.9,3446.0,3425.0,3708.9
"45",2,"防火工作","",444.5,449.2,483.1,520.2
"45",3,"救護服務","",1598.6,1702.4,1653.0,1820.7
"46",1,"公務員一般開支","",3104.0,3507.7,3339.8,3826.7
"47",1,"政府內部資訊科技的使用","",569.1,560.8,560.4,570.8
"47",2,"資訊科技基建及標準","",62.8,80.7,81.0,76.5
"47",3,"社會對資訊科技的使用","",87.4,101.9,104.8,118.7
"48",1,"法定化驗","",209.6,218.6,219.5,211.0
"48",2,"諮詢及檢測事務","",83.3,88.0,92.6,89.6
"48",3,"法證事務","",158.7,158.4,162.9,163.3
"49",1,"食物安全及公共衞生","",1033.4,1033.7,1097.1,1131.4
"49",2,"環境衞生及有關服務","",3210.7,3440.3,3488.8,3673.4
"49",3,"街市及小販管理","",1745.6,1896.0,1918.8,1921.1
"49",4,"公眾教育及市民參與","",46.4,31.9,48.6,50.3
"51",1,"獲取及分配產業","",774.4,742.4,733.8,711.5
"51",2,"物業管理","",1070.6,1148.9,1157.0,1182.2
"51",3,"產業的使用","",56.4,51.4,51.9,49.0
"53",1,"局長辦公室","",12.3,12.2,12.2,12.1
"53",2,"社會和諧及公民教育","",414.5,513.7,496.9,543.7
"53",3,"地區、社區及公眾關係","",70.8,55.8,75.5,154.8
"53",4,"康樂、體育及娛樂事務發牌","",144.6,182.1,162.8,173.1
"53",5,"文化","",150.0,173.5,175.6,206.9
"53",6,"資助金：香港演藝學院、香港藝術發展局及主要演藝團體","主要演藝團體",334.6,334.6,334.1,334.6
"53",6,"資助金：香港演藝學院、香港藝術發展局及主要演藝團體","香港演藝學院",312.6,309.3,320.1,327.4
"53",6,"資助金：香港演藝學院、香港藝術發展局及主要演藝團體","香港藝術發展局",129.7,124.4,125.4,126.0
"53",7,"資助金：當值律師服務及法律援助服務局","法律援助服務局",6.1,6.2,6.4,6.5
"53",7,"資助金：當值律師服務及法律援助服務局","當值律師服務",118.4,129.8,126.6,140.7
"55",1,"廣播及創意產業","",269.2,392.3,372.6,384.6
"55",2,"電訊","",13.7,22.1,15.3,24.8
"59",1,"採購","",50.6,53.4,48.7,50.9
"59",2,"物料供應管理","",75.4,84.3,86.3,93.0
"59",3,"車輛管理","",202.0,239.4,240.7,251.9
"59",4,"印刷服務","",221.7,225.4,226.8,224.0
"60",1,"基本工程","",403.4,444.3,433.7,465.4
"60",2,"區域及維修工程","",1362.2,1526.3,1433.4,1710.7
"60",3,"鐵路發展","",117.1,125.5,123.0,133.0
"60",4,"技術服務","",764.6,819.1,817.8,839.6
"62",1,"屋宇管制","",126.2,141.7,145.9,150.2
"62",2,"私營房屋","",66.0,78.1,81.9,81.5
"62",3,"上訴委員會（房屋）","",9.9,11.0,11.3,10.9
"62",4,"安置受清拆影響居民","",23.9,23.9,24.7,24.5
"62",5,"支援服務","",47.1,32.9,33.5,37.5
"63",1,"地區行政","",960.7,963.8,1008.8,1018.1
"63",2,"社區建設","",1107.2,1079.8,1086.9,1222.4
"63",3,"地區環境改善工程","",235.9,259.4,262.2,271.6
"63",4,"發牌事宜","",70.8,66.9,66.0,69.5
"63",5,"全港規劃及拓展事宜","",22.6,23.5,24.4,25.5
"70",1,"入境前管制","",288.6,308.3,309.7,327.6
"70",2,"入境時管制","",2170.7,2296.2,2298.9,2484.1
"70",3,"入境後管制","",876.6,933.2,935.4,994.4
"70",4,"個人證件","",668.3,706.5,707.6,726.7
"70",5,"國籍事宜及為在香港以外地方的香港特區居民提供協助","",23.0,23.9,24.3,25.7
"72",1,"防止貪污","",71.6,71.6,79.4,79.6
"72",2,"執法工作","",776.5,782.1,806.3,822.3
"72",3,"倡廉教育","",78.0,77.7,81.1,85.7
"72",4,"爭取支持","",80.5,80.2,83.8,86.6
"74",1,"香港以外的公共關係","",103.0,100.6,98.5,137.0
"74",2,"本地公共關係及公眾資訊","",204.3,212.7,218.9,227.4
"74",3,"輿論","",22.6,24.1,22.7,21.4
"74",4,"公民責任","",43.2,49.3,54.1,53.0
"74",5,"出版","",74.4,70.9,73.9,66.7
"76",1,"評稅職責","",1040.0,1084.0,1095.5,1130.1
"76",2,"收取稅款","",163.6,167.5,170.1,172.6
"76",3,"調查及實地審核","",222.7,227.2,229.9,235.2
"76",4,"納稅人查詢服務","",27.1,27.7,28.0,28.6
"78",1,"法定職能","",97.7,100.5,106.8,113.1
"78",2,"保護知識產權","",39.9,47.0,40.9,43.3
"79",1,"投資促進","",115.7,128.2,126.4,130.7
"80",1,"法院、審裁處及多項法定職能","",1044.5,1204.5,1143.5,1350.8
"80",2,"為法庭的運作提供支援服務","",338.3,383.0,379.8,411.9
"82",1,"樓宇及建築工程","",1251.8,1308.7,1350.2,1382.9
"90",1,"勞資關係","",157.3,174.2,170.2,177.9
"90",2,"就業服務","",833.5,913.9,804.7,883.0
"90",3,"工作安全與健康","",477.9,484.0,490.1,509.8
"90",4,"僱員權益及福利","",347.2,375.2,380.1,382.5
"91",1,"土地行政","",1718.2,1731.3,1763.3,1802.0
"91",2,"測量及繪圖","",534.4,549.7,563.1,574.9
"91",3,"法律諮詢","",71.0,76.0,74.6,76.1
"92",1,"刑事檢控","",613.8,900.3,612.9,855.9
"92",2,"民事法律","",606.6,1025.9,658.3,787.5
"92",3,"法律政策","",105.1,128.3,125.4,130.1
"92",4,"法律草擬","",115.4,126.5,123.1,131.8
"92",5,"國際法律","",68.4,59.9,60.8,66.6
"94",1,"審批法律援助申請","",102.5,103.7,107.1,111.3
"94",2,"訴訟服務","",703.0,845.7,849.3,825.8
"94",3,"支援服務","",40.5,42.4,43.4,44.9
"94",4,"法定代表律師辦事處","",14.5,15.9,14.6,14.8
"95",1,"康樂及體育","",3675.1,3958.3,3933.7,4079.5
"95",2,"園藝及市容設施","",914.0,1141.7,1085.8,1091.7
"95",3,"文物及博物館","",817.2,942.5,927.5,1009.4
"95",4,"表演藝術","",1114.0,1138.7,1213.0,1225.3
"95",5,"公共圖書館","",1060.5,1191.2,1141.9,1193.4
"96",1,"對外貿易關係","",147.5,187.5,174.8,201.7
"96",2,"公共關係","",113.2,140.2,134.9,157.8
"96",3,"投資促進","",53.7,63.9,62.2,72.4
"100",1,"基本設施","",62.5,57.9,62.6,63.6
"100",2,"港口服務","",418.9,450.6,449.7,488.3
"100",3,"本地海事服務","",115.9,153.1,141.9,152.7
"100",4,"船舶服務","",102.7,96.1,99.3,97.7
"100",5,"政府船隊","",495.8,553.0,559.6,559.8
"112",1,"議員辦事處及酬金","",236.9,290.5,305.3,283.5
"112",2,"議會事務服務","",398.8,408.2,419.6,405.1
"112",3,"法律服務","",48.7,50.8,52.9,52.3
"112",4,"申訴制度","",22.5,22.9,23.1,22.5
"112",5,"圖書館及檔案館服務","",33.0,36.3,35.6,38.0
"112",6,"議會聯繫和教育及訪客服務","",37.0,41.4,41.3,40.5
"114",1,"申訴處理","",111.3,110.8,115.1,114.1
"116",1,"破產管理署","",156.9,190.6,191.6,180.3
"118",1,"全港規劃","",130.4,139.5,136.2,142.8
"118",2,"地區規劃","",375.4,385.8,391.2,388.2
"118",3,"規劃事宜資訊服務","",25.7,27.2,31.5,38.8
"118",4,"專業服務","",105.4,104.7,111.8,116.9
"120",1,"公務員及司法人員的退休金利益","",29412.0,33025.5,32208.6,35364.9
"120",2,"太平洋戰爭紀念撫恤金／義勇軍撫恤金","",20.8,21.2,20.1,20.1
"121",1,"處理投訴警方事宜","",58.9,62.3,64.2,73.4
"122",1,"維持社會治安","",8038.1,8434.3,8679.4,8992.4
"122",2,"防止及偵破罪案","",3942.3,3567.2,3648.9,3781.1
"122",3,"道路安全","",1428.3,1735.2,1789.0,1834.6
"122",4,"行動單位的工作","",3656.0,3566.8,3595.8,3887.6
"135",1,"局長辦公室","",3.9,14.7,14.7,15.5
"135",2,"創新及科技","",7.1,28.7,24.6,162.7
"136",1,"為公務員敍用委員會提供秘書處服務","",22.6,25.0,25.0,30.4
"137",1,"局長辦公室","",15.9,16.0,15.7,15.7
"137",2,"能源","",31.9,27.1,31.2,31.4
"137",3,"可持續發展","",29.0,34.7,30.9,33.7
"138",1,"局長辦公室","",13.6,13.6,13.8,14.1
"138",2,"屋宇、地政及規劃","",291.9,304.7,300.4,378.6
"139",1,"局長辦公室","",12.0,11.8,12.0,12.4
"139",2,"漁農事宜及食物安全","",41.1,96.4,70.3,83.3
"139",3,"環境衞生","",21.7,39.7,52.8,66.4
"140",1,"衞生","",345.4,489.3,466.7,538.4
"140",2,"資助金：醫院管理局","",61548.9,51588.9,53426.6,55283.0
"140",3,"資助金：菲臘牙科醫院","",159.1,159.8,163.7,168.6
"141",1,"局長辦公室","",12.8,12.6,12.8,12.8
"141",2,"社會福利","",372.2,415.0,391.0,441.1
"141",3,"婦女權益","",27.9,33.0,32.0,35.3
