"分目 (編號)","分目","項目 (編號)","項目","2016–17實際收入
$’000","2017–18原來預算
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"022","漁農自然護理署","010","市場","90131","89375","89341","94022"
"022","漁農自然護理署","020","農業服務及農產品","276","316","309","300"
"022","漁農自然護理署","030","其他","37433","37413","46522","50622"
"024","審計署","","","12274","12274","11474","11474"
"025","建築署","025","提供予營運基金及資助工程的服務","380","395","988","988"
"025","建築署","030","其他","420","455","384","384"
"026","政府統計處","","","9090","7164","6242","1099"
"027","民眾安全服務處","","","31","37","30","72"
"028","民航處","010","提供予機場管理局的服務","807867","840210","763210","801260"
"028","民航處","020","過境導航費","308082","346087","351176","400083"
"028","民航處","030","牌照","80097","75956","82878","90277"
"028","民航處","040","其他","904","919","928","855"
"030","懲教署","010","回收款項，懲教署工業組的原材料成本除外","189","447","163","163"
"030","懲教署","015","洗熨費用","3242","3244","3280","3280"
"030","懲教署","020","其他","191","195","163","163"
"031","香港海關","010","進口及出口報關","893383","851400","954903","725742"
"031","香港海關","020","保稅公倉監管費","480","487","493","493"
"031","香港海關","030","成衣業訓練附加稅服務費","56","56","51","49"
"031","香港海關","040","酒類變質費","297","291","266","266"
"031","香港海關","071","進口及出口證","2547","2136","2789","2789"
"031","香港海關","072","應課稅品倉牌照","852","828","852","852"
"031","香港海關","080","雜項牌照","1761","1745","1774","1773"
"031","香港海關","090","存倉費","1","1","1","1"
"031","香港海關","100","其他","41374","16541","31857","18328"
"032","公司註冊處","010","牌照及其他費用","17406","22817","19172","21857"
"033","土木工程拓展署","010","代個別市民／私營公司進行的工程","9008","484","6694","317"
"033","土木工程拓展署","011","危險品、採礦及探礦牌照","1864","1945","2042","2104"
"033","土木工程拓展署","012","爆炸品許可證及儲存費","13316","24110","13672","13710"
"033","土木工程拓展署","013","卸泥","12178","6465","8799","6220"
"033","土木工程拓展署","014","在公眾填料接收設施處置建築廢料","405799","1108000","942000","962000"
"033","土木工程拓展署","030","其他","382","286","296","279"
"037","衞生署","010","危險藥物、藥房、毒藥及其他牌照","24149","24818","24169","24941"
"037","衞生署","030","門診收費","36071","37534","40339","40980"
"037","衞生署","040","牙科收費","8561","8598","8645","8721"
"037","衞生署","050","住院、門診及牙科收費以外的醫療及健康護理費用","28831","28257","30487","30972"
"037","衞生署","060","醫療及輔助醫療業人員註冊及證書","35536","35906","36680","39962"
"037","衞生署","070","其他","675","549","1157","995"
"039","渠務署","010","代個別市民／私營公司進行的工程","0","8","8","8"
"039","渠務署","030","其他","1349","1175","1320","1320"
"042","機電工程署","025","提供予機電工程營運基金的服務","44513","44120","41713","43173"
"042","機電工程署","027","註冊、核證及許可證費用","57368","52908","51897","49270"
"042","機電工程署","030","其他","10","14","14","14"
"044","環境保護署","010","處理化學廢物收費計劃","30337","28000","35000","35000"
"044","環境保護署","015","處理船舶排放污染廢物收費計劃","5928","5200","6900","6900"
"044","環境保護署","017","廢物處置收費","165863","236300","211200","219420"
"044","環境保護署","020","牌照及許可證收費","18061","18918","18776","18829"
"044","環境保護署","025","生產者責任計劃","0","0","0","123741"
"044","環境保護署","030","其他","954","686","1211","1229"
"045","消防處","010","儲存危險品牌照","12833","12544","12552","12552"
"045","消防處","012","證明書及火警報告","9088","8982","9578","9578"
"045","消防處","020","其他","1433","1573","1992","1992"
"047","政府總部：政府資訊科技總監辦公室","","","7849","7866","9139","9722"
"048","政府化驗所","015","提供予醫院管理局的服務","1669","1976","1976","1701"
"048","政府化驗所","020","其他","5576","4891","4368","4037"
"049","食物環境衞生署","010","牌照及許可證","133769","131889","123927","214628"
"049","食物環境衞生署","020","肉類檢驗","20005","19945","20864","20691"
"049","食物環境衞生署","030","墳場及火葬場","64418","65518","67805","70272"
"049","食物環境衞生署","040","其他","4533","3966","4965","4566"
"051","政府產業署","010","管理及空氣調節費用","66114","65534","66588","65307"
"051","政府產業署","020","其他","8404","8793","7403","10449"
"055","政府總部︰商務及經濟發展局(通訊及創意產業科)","","","956","1040","1040","1140"
"059","政府物流服務署","010","印刷服務","303337","256675","254293","247293"
"059","政府物流服務署","020","刊登公共啓事","20455","21492","22139","22139"
"059","政府物流服務署","030","租用政府車輛","23112","22824","25368","25368"
"059","政府物流服務署","040","其他","15326","12929","10206","11509"
"060","路政署","010","代個別市民／私營公司進行的工程","597","1021","950","850"
"060","路政署","020","掘路許可證","179908","167671","201941","201941"
"060","路政署","030","其他","2105","2128","2012","2002"
"063","民政事務總署","015","旅館牌照","3321","1462","6573","5126"
"063","民政事務總署","016","會社證明書","12863","13120","13717","13450"
"063","民政事務總署","020","卡拉OK場所牌照及許可證","17","19","26","19"
"063","民政事務總署","021","娛樂牌照","15482","13637","13275","12632"
"063","民政事務總署","030","其他","2901","2759","2889","2889"
"070","入境事務處","012","申請中國國籍","5097","5858","5088","5260"
"070","入境事務處","020","旅行證件","276807","302786","283716","276848"
"070","入境事務處","030","簽證、入境許可證及延期逗留","130056","140595","138167","141826"
"070","入境事務處","040","證明書費用","11772","11519","12091","11931"
"070","入境事務處","060","補領身分證","50937","49099","47805","49372"
"070","入境事務處","070","出生及死亡登記費","38651","40008","38390","38574"
"070","入境事務處","080","婚姻註冊費","63083","71283","62690","63451"
"070","入境事務處","090","其他","14180","13003","15980","16501"
"074","政府新聞處","010","銷售刊物","4134","4050","3210","3210"
"074","政府新聞處","020","其他","914","943","1790","1790"
"076","稅務局","010","商業登記費","227738","2600000","2600000","2650000"
"076","稅務局","020","其他","23655","22000","27000","28000"
"078","知識產權署","010","專利註冊費","25105","22712","24847","23435"
"078","知識產權署","020","商標註冊費","188272","178554","184774","177214"
"078","知識產權署","030","外觀設計註冊費","8123","7783","7896","7851"
"078","知識產權署","040","其他","43","88","33","54"
"080","司法機構","010","手續費","51573","7132","17461","7138"
"080","司法機構","020","法庭收費","156650","151212","162637","162637"
"080","司法機構","030","查封費","285","214","457","457"
"080","司法機構","040","其他","17164","16901","17242","17242"
"082","屋宇署","010","根據《建築物條例》所收取的費用","262837","251523","297596","299280"
"082","屋宇署","020","代個別市民／私營公司進行的工程","41","78","36","36"
"082","屋宇署","030","其他","2158","2259","2196","3597"
"090","勞工處","","","29204","31729","32715","33407"
"091","地政總署","010","土地行政及法律服務","69398","68416","67403","68335"
"091","地政總署","012","地政總署同意書及政府土地契約費用","6880","4406","6013","6450"
"091","地政總署","013","為財政司司長法團提供田土轉易服務的行政費","248","210","196","196"
"091","地政總署","020","掘路許可證","11267","11146","12163","12109"
"091","地政總署","040","代個別市民／私營公司進行的工程","312","53","718","146"
"091","地政總署","042","提供予九廣鐵路公司的服務","14362","26811","28665","23137"
"091","地政總署","046","提供予香港鐵路公司的服務","34388","28452","33350","38797"
"091","地政總署","050","其他","33914","26416","28786","28526"
"092","律政司","","","2654","2463","2351","3866"
"094","法律援助署","","","345148","346785","335188","333495"
"095","康樂及文化事務署","010","入場費及租用費","759792","733833","767254","748202"
"095","康樂及文化事務署","020","康體活動的收費","39523","40828","41379","40590"
"095","康樂及文化事務署","030","牌照","361","340","315","315"
"095","康樂及文化事務署","040","其他","32886","28079","27395","27093"
"100","海事處","010","碇泊區","37422","20087","38593","20000"
"100","海事處","020","浮泡","22658","22600","22619","22619"
"100","海事處","030","許可證收費","119029","117394","120687","120663"
"100","海事處","040","貨物裝卸區收費","122182","124819","121054","121054"
"100","海事處","050","考試及註冊費","131908","127608","126028","128713"
"100","海事處","070","船舶牌照","42274","42992","45064","45064"
"100","海事處","080","港口及燈標費","119180","120210","116922","210158"
"100","海事處","090","離港許可證收費","11083","11154","11148","11148"
"100","海事處","100","驗船費","25739","23289","23300","23227"
"100","海事處","110","其他","6748","5544","7067","6933"
"116","破產管理署","010","破產","128968","114511","226679","113589"
"116","破產管理署","020","清盤","32765","27725","32312","26935"
"122","香港警務處","010","核實刑事紀錄","10567","10425","12605","10589"
"122","香港警務處","020","營業場所及行業牌照","1891","1844","1985","1985"
"122","香港警務處","025","保安及護衞人員許可證","11703","12831","10967","10967"
"122","香港警務處","030","其他","8255","8225","7585","7593"
"143","政府總部：公務員事務局","010","翻譯及傳譯服務","7458","7688","8736","8736"
"143","政府總部：公務員事務局","020","培訓及發展服務","6513","4704","6576","6576"
"143","政府總部：公務員事務局","030","其他","681","712","691","691"
"148","政府總部：財經事務及庫務局(財經事務科)","010","保險公司","40692","18825","7048","0"
"148","政府總部：財經事務及庫務局(財經事務科)","030","其他","3","4","4","4"
"151","政府總部：保安局","010","保安及護衞公司","17972","18455","18752","18991"
"151","政府總部：保安局","090","其他","48","50","48","49"
"152","政府總部：商務及經濟發展局(工商及旅遊科)","","","3292","0","219","3602"
"155","政府總部：創新科技署","","","12828","12534","13055","13134"
"156","政府總部：教育局","020","補助及津貼學校公積金－監管費","5625","5900","5813","6093"
"156","政府總部：教育局","030","其他","3888","3700","4119","4482"
"160","香港電台","","","1480","1360","1491","1599"
"162","差餉物業估價署","","","3988","3899","4087","4087"
"168","香港天文台","010","提供予機場管理局的服務","103137","114208","108331","121883"
"168","香港天文台","020","其他","1135","1019","1055","1057"
"170","社會福利署","010","交通意外傷亡援助計劃行政費用","21694","22066","22624","23159"
"170","社會福利署","020","其他","722","802","722","635"
"173","在職家庭及學生資助事務處","","","30357","34020","34438","34929"
"180","電影、報刊及物品管理辦事處","020","電影檢查費","4185","4246","3950","3950"
"180","電影、報刊及物品管理辦事處","030","其他","643","713","711","711"
"181","工業貿易署","010","產地來源證申請費","186","170","170","170"
"181","工業貿易署","040","其他","4505","4474","4732","4739"
"186","運輸署","010","車輛牌照及駕駛執照","3997577","4133359","4181991","4278448"
"186","運輸署","030","車輛及登記號碼過戶、駕駛考試及許可證","352406","341885","385512","387359"
"186","運輸署","040","交通意外傷亡援助計劃行政費用","1940","2003","1988","2050"
"186","運輸署","050","車輛檢驗費","53167","62057","64915","65368"
"186","運輸署","055","自訂車輛登記號碼","32398","26013","31304","31304"
"186","運輸署","060","其他","17114","16687","17762","18060"
"188","庫務署","040","其他","58123","64518","62503","65347"
"200","其他各局／部門","","","37791","44352","43870","44307"
