"總目(編號)","開支總目","核准
承擔額
$’000","截至
31.3.2017 止
的累積開支
$’000","2017-18
修訂預算
開支
$’000","結餘
$’000"
"22","漁農自然護理署",2841850,1186977,42509,1612364
"33","土木工程拓展署",5000,3879,25,1096
"30","懲教署",136593,400,4000,132193
"31","香港海關",290276,1800,9540,278936
"37","衞生署",38475,1136,12040,25299
"92","律政司",20435,14398,646,5391
"39","渠務署",16000,0,0,16000
"44","環境保護署",14032125,7197663,1623553,5210909
"45","消防處",784785,32821,42720,709244
"49","食物環境衞生署",230000,164969,43300,21731
"166","政府飛行服務隊",2963500,1375712,340045,1247743
"152","政府總部：商務及經濟發展局(工商及旅遊科)",100605646,469843,10241,100125562
"55","政府總部：商務及經濟發展局(通訊及創意產業科)",2808600,1176922,212812,1418866
"144","政府總部：政制及內地事務局",9800,0,1837,7963
"138","政府總部：發展局(規劃地政科)",4300000,730000,155000,3415000
"159","政府總部：發展局(工務科)",630200,344528,39927,245745
"156","政府總部：教育局",4581179,960733,794403,2826043
"137","政府總部：環境局",100000,54537,4500,40963
"148","政府總部：財經事務及庫務局(財經事務科)",919200,25200,40455,853545
"147","政府總部：財經事務及庫務局(庫務科)",22309000,21632686,66030,610284
"140","政府總部：食物及衞生局(衞生科)",3423800,594859,185000,2643941
"53","政府總部：民政事務局",1749337,133667,107684,1507986
"135","政府總部：創新及科技局",513000,11506,2000,499494
"141","政府總部：勞工及福利局",1200000,314981,115470,769549
"47","政府總部：政府資訊科技總監辦公室",320300,168653,43756,107891
"96","政府總部：海外經濟貿易辦事處",9400,1140,3600,4660
"151","政府總部：保安局",2000000,0,0,2000000
"158","政府總部：運輸及房屋局(運輸科)",293500,30233,39180,224087
"60","路政署",27560,0,5512,22048
"63","民政事務總署",481916,106421,62174,313321
"122","香港警務處",2695350,570402,896,2124052
"70","入境事務處",31750,963,8588,22199
"72","廉政公署",7000,0,1000,6000
"90","勞工處",4858000,1712975,294700,2850325
"112","立法會行政管理委員會",143907,100507,11492,31908
"95","康樂及文化事務署",1080160,104586,44157,931417
"100","海事處",153073,9535,28464,115074
"106","雜項服務",397345,130805,60578,205962
"116","破產管理署",10000,8921,0,1079
"118","規劃署",37260,8244,6780,22236
"160","香港電台",124730,40169,26525,58036
"170","社會福利署",14880000,943769,3055382,10880849
"181","工業貿易署",136250000,4966225,396000,130887775
"186","運輸署",1341102,17492,61028,1262582
"190","大學教育資助委員會",3070000,0,0,3070000
"173","在職家庭及學生資助事務處",18514490,4217773,211804,14084913
