"人員","總目(編號)","開支總目","截至下列日期止的編制
職位數目總數
31.3.2018
修訂預算","截至下列日期止的編制
首長級編外職位數目
31.3.2018
修訂預算","截至下列日期止的編制
職位數目總數
31.3.2019
預算","截至下列日期止的編制
首長級編外職位數目
31.3.2019
預算"
"政府支薪人員","21","行政長官辦公室",103,,103,
"政府支薪人員","22","漁農自然護理署",2175,,2277,
"政府支薪人員","25","建築署",1861,,1908,1
"政府支薪人員","24","審計署",192,,197,
"政府支薪人員","23","醫療輔助隊",99,,99,
"政府支薪人員","82","屋宇署",1831,1,1956,1
"政府支薪人員","26","政府統計處",1243,,1250,
"政府支薪人員","27","民眾安全服務處",103,,105,
"政府支薪人員","28","民航處",772,1,854,2
"政府支薪人員","33","土木工程拓展署",1906,11,1997,11
"政府支薪人員","30","懲教署",7052,,7118,
"政府支薪人員","31","香港海關",6621,,7387,
"政府支薪人員","37","衞生署",6451,2,6634,2
"政府支薪人員","92","律政司",1365,2,1444,2
"政府支薪人員","39","渠務署",1945,,2003,
"政府支薪人員","42","機電工程署",451,,515,
"政府支薪人員","44","環境保護署",1909,3,2120,4
"政府支薪人員","45","消防處",10694,,11077,
"政府支薪人員","49","食物環境衞生署",11189,3,11296,4
"政府支薪人員","46","公務員一般開支",359,,359,
"政府支薪人員","166","政府飛行服務隊",293,,304,
"政府支薪人員","48","政府化驗所",487,,487,
"政府支薪人員","59","政府物流服務署",714,,717,
"政府支薪人員","51","政府產業署",211,,211,
"政府支薪人員","143","政府總部：公務員事務局",630,,643,
"政府支薪人員","152","政府總部：商務及經濟發展局(工商及旅遊科)",242,3,268,6
"政府支薪人員","55","政府總部：商務及經濟發展局(通訊及創意產業科)",121,2,121,2
"政府支薪人員","144","政府總部：政制及內地事務局",192,,199,1
"政府支薪人員","138","政府總部：發展局(規劃地政科)",153,1,171,1
"政府支薪人員","159","政府總部：發展局(工務科)",281,5,291,5
"政府支薪人員","156","政府總部：教育局",6036,1,6153,1
"政府支薪人員","137","政府總部：環境局",53,1,53,1
"政府支薪人員","148","政府總部：財經事務及庫務局(財經事務科)",104,2,114,3
"政府支薪人員","147","政府總部：財經事務及庫務局(庫務科)",190,,193,
"政府支薪人員","139","政府總部：食物及衞生局(食物科)",57,1,61,1
"政府支薪人員","140","政府總部：食物及衞生局(衞生科)",126,2,169,1
"政府支薪人員","53","政府總部：民政事務局",280,5,300,5
"政府支薪人員","135","政府總部：創新及科技局",58,,178,
"政府支薪人員","155","政府總部：創新科技署",236,,286,
"政府支薪人員","141","政府總部：勞工及福利局",115,,122,
"政府支薪人員","47","政府總部：政府資訊科技總監辦公室",668,,684,
"政府支薪人員","142","政府總部：政務司司長辦公室及財政司司長辦公室",568,1,523,3
"政府支薪人員","96","政府總部：海外經濟貿易辦事處",167,,174,
"政府支薪人員","151","政府總部：保安局",224,1,257,1
"政府支薪人員","158","政府總部：運輸及房屋局(運輸科)",207,4,209,4
"政府支薪人員","60","路政署",2262,5,2415,5
"政府支薪人員","63","民政事務總署",2051,,2176,1
"政府支薪人員","168","香港天文台",315,,332,
"政府支薪人員","122","香港警務處",34627,,35684,
"政府支薪人員","70","入境事務處",8109,2,8933,1
"政府支薪人員","72","廉政公署",1498,,1504,
"政府支薪人員","74","政府新聞處",429,,434,
"政府支薪人員","76","稅務局",2852,,2889,
"政府支薪人員","78","知識產權署",158,,161,
"政府支薪人員","79","投資推廣署",36,,37,
"政府支薪人員","174","公務及司法人員薪俸及服務條件諮詢委員會聯合秘書處",31,,34,
"政府支薪人員","80","司法機構",1943,2,1980,2
"政府支薪人員","90","勞工處",2408,1,2547,1
"政府支薪人員","91","地政總署",4180,,4558,
"政府支薪人員","94","法律援助署",543,,546,
"政府支薪人員","95","康樂及文化事務署",9779,,10021,
"政府支薪人員","100","海事處",1455,3,1464,3
"政府支薪人員","180","電影、報刊及物品管理辦事處",67,,68,
"政府支薪人員","116","破產管理署",242,,273,
"政府支薪人員","118","規劃署",867,1,917,1
"政府支薪人員","136","公務員敍用委員會秘書處",32,,32,
"政府支薪人員","160","香港電台",731,1,738,1
"政府支薪人員","162","差餉物業估價署",877,,895,
"政府支薪人員","163","選舉事務處",257,,260,
"政府支薪人員","169","截取通訊及監察事務專員秘書處",23,,23,
"政府支薪人員","170","社會福利署",6066,1,6358,1
"政府支薪人員","181","工業貿易署",510,,516,
"政府支薪人員","186","運輸署",1705,,1827,
"政府支薪人員","188","庫務署",509,,511,
"政府支薪人員","190","大學教育資助委員會",72,,81,
"政府支薪人員","194","水務署",4483,2,4566,2
"政府支薪人員","173","在職家庭及學生資助事務處",1284,,1282,
"任職於其他公共機構的人員","","公司註冊處營運基金",351,1,379,
"任職於其他公共機構的人員","","機電工程營運基金",3575,,3615,
"任職於其他公共機構的人員","","香港金融管理局",10,,7,
"任職於其他公共機構的人員","","醫院管理局",1165,,1019,
"任職於其他公共機構的人員","","房屋委員會",9239,,9490,
"任職於其他公共機構的人員","","土地註冊處營運基金",581,,586,
"任職於其他公共機構的人員","","法律援助服務局",4,,4,
"任職於其他公共機構的人員","","通訊事務管理局辦公室營運基金",339,,351,
"任職於其他公共機構的人員","","郵政署營運基金",5347,,5347,
"任職於其他公共機構的人員","","職業訓練局",5,,4,
