"總目(編號)","開支總目","2016-17
實際開支
$’000","2017-18
核准預算
$’000","2017-18
修訂預算
$’000","2018-19
預算
$’000"
"21","行政長官辦公室",110498,117363,117297,117007
"22","漁農自然護理署",1250175,1521847,1398431,1648525
"25","建築署",2032677,2042983,2072598,2177714
"24","審計署",164357,169191,170569,173725
"23","醫療輔助隊",96385,97935,97930,100803
"82","屋宇署",1359915,1382930,1399333,1570642
"26","政府統計處",777868,665767,650382,672580
"27","民眾安全服務處",106138,109468,109525,116899
"28","民航處",950005,994730,1006730,1088247
"33","土木工程拓展署",2636662,2845479,2595798,2979134
"30","懲教署",3775767,3839053,3853215,3969152
"31","香港海關",3497997,3652909,3637592,4426311
"37","衞生署",7304813,8780758,8548325,11080699
"92","律政司",1531123,1971926,1620436,2290902
"39","渠務署",2594150,2636654,2655542,2821876
"42","機電工程署",477032,668166,658435,915771
"44","環境保護署",4956727,6133742,5267087,6167198
"45","消防處",5563723,6049824,5904992,6676723
"49","食物環境衞生署",6511923,6776198,6808125,7589878
"46","公務員一般開支",3261294,3826740,3484825,3825939
"166","政府飛行服務隊",536119,776275,767622,622890
"48","政府化驗所",473487,463918,470816,489331
"59","政府物流服務署",602465,619790,619406,574635
"51","政府產業署",1936934,1942714,1942549,2041673
"143","政府總部：公務員事務局",569040,600626,596512,652846
"152","政府總部：商務及經濟發展局(工商及旅遊科)",1884689,2515634,2038383,2633651
"55","政府總部：商務及經濟發展局(通訊及創意產業科)",367022,409369,372631,526430
"144","政府總部：政制及內地事務局",608814,698066,696743,676072
"138","政府總部：發展局(規劃地政科)",307301,392650,391118,689936
"159","政府總部：發展局(工務科)",408782,505678,470857,583330
"156","政府總部：教育局",54815376,57393829,60041313,63702930
"137","政府總部：環境局",77626,80845,80670,91794
"148","政府總部：財經事務及庫務局(財經事務科)",764942,343588,281842,770232
"147","政府總部：財經事務及庫務局(庫務科)",342091,318842,310827,304311
"139","政府總部：食物及衞生局(食物科)",131095,162081,154474,165583
"140","政府總部：食物及衞生局(衞生科)",54049368,55990015,57066771,63342179
"53","政府總部：民政事務局",1808372,2025752,2001350,2057808
"135","政府總部：創新及科技局",38837,178215,55247,590202
"155","政府總部：創新科技署",590739,621176,626135,691955
"141","政府總部：勞工及福利局",782636,840546,828899,849047
"47","政府總部：政府資訊科技總監辦公室",735443,765961,767991,777508
"142","政府總部：政務司司長辦公室及財政司司長辦公室",911989,993951,950396,885635
"96","政府總部：海外經濟貿易辦事處",337878,431946,396206,425335
"151","政府總部：保安局",371884,606630,452043,773518
"158","政府總部：運輸及房屋局(運輸科)",231057,280433,280100,293494
"60","路政署",2810029,3148719,2925423,3862156
"63","民政事務總署",2425682,2607074,2609657,2902836
"168","香港天文台",298044,303083,303083,338539
"122","香港警務處",17855006,18495744,18680131,19662158
"62","房屋署",287593,304587,312702,322650
"70","入境事務處",4275049,4558514,4450673,5683240
"72","廉政公署",1044691,1074206,1095052,1120424
"121","獨立監察警方處理投訴委員會",64215,73393,74673,76841
"74","政府新聞處",466367,505545,512211,499386
"76","稅務局",1503710,1566548,1554249,1633897
"78","知識產權署",145793,156394,157684,167172
"79","投資推廣署",125539,130697,135017,139008
"174","公務及司法人員薪俸及服務條件諮詢委員會聯合秘書處",30410,33107,32823,33757
"80","司法機構",1521355,1762725,1700190,1901759
"90","勞工處",1851634,1953176,1920355,2148376
"91","地政總署",2402600,2452963,2502413,2750380
"94","法律援助署",1023633,996812,999258,1116769
"112","立法會行政管理委員會",874052,841862,860528,890077
"95","康樂及文化事務署",8431164,8599298,8634705,9091340
"100","海事處",1307032,1362139,1371036,1540054
"106","雜項服務",115825,3912906,564906,16921008
"180","電影、報刊及物品管理辦事處",46222,48345,48548,50316
"114","申訴專員公署",115095,114068,116644,117139
"116","破產管理署",188998,180311,182794,343556
"120","退休金",31948165,35385040,34867740,37934730
"118","規劃署",662442,686700,694925,731245
"136","公務員敍用委員會秘書處",24871,30350,29648,27074
"160","香港電台",985439,995202,1011102,1012461
"162","差餉物業估價署",512928,525906,531949,555395
"163","選舉事務處",920958,554159,342372,711357
"169","截取通訊及監察事務專員秘書處",19146,21202,20373,24573
"170","社會福利署",64434066,72151170,66655174,84204368
"181","工業貿易署",728440,802446,764524,775251
"186","運輸署",2652148,3097346,2965377,4485915
"188","庫務署",382883,391910,397654,406795
"190","大學教育資助委員會",18610482,18661695,19002755,22207113
"194","水務署",8001067,8282094,8317585,8403976
"173","在職家庭及學生資助事務處",5517793,8197941,5330812,19223849
"184","轉撥各基金的款項",23864000,8850000,4350000,2590000
