"總目","帳目","分目(編號)","分目","項目(編號)","涵蓋的範圍","核准
承擔額
$'000","截至
31.3.2017止
的累積開支
$'000","2017-18
修訂預算開支
$'000","結餘
$'000"
"22","經營帳目","700","一般非經常開支","536","在沙洲及龍鼓洲一帶海域設立海岸庇護區",21000,19229,50,1721
"22","經營帳目","700","一般非經常開支","540","人工魚礁計劃",80100,75006,200,4894
"22","經營帳目","700","一般非經常開支","801","農業持續發展基金",500000,0,2500,497500
"22","經營帳目","700","一般非經常開支","808","漁業持續發展基金",500000,13463,15800,470737
"22","經營帳目","700","一般非經常開支","852","因禁止拖網捕魚而向拖網漁船船東、其僱用的本地漁工和收魚艇船東提供的一次過援助方案，以及相關的措施",1726800,1078534,17972,630294
"22","非經營帳目","603","機器、車輛及設備","811","採購1艘巡邏艇",13950,745,5987,7218
"30","經營帳目","700","一般非經常開支","999","戒毒所提供的更生計劃顧問研究",800,400,0,400
"30","非經營帳目","603","機器、車輛及設備","801","為壁屋監獄更換及提升閉路電視系統",37409,0,0,37409
"30","非經營帳目","603","機器、車輛及設備","803","為東頭懲教所更換及提升閉路電視系統",15940,0,400,15540
"30","非經營帳目","603","機器、車輛及設備","804","為大欖懲教所更換及提升閉路電視系統",24510,0,934,23576
"30","非經營帳目","603","機器、車輛及設備","805","為塘福懲教所更換及提升閉路電視系統",35274,0,400,34874
"30","非經營帳目","603","機器、車輛及設備","828","更換懲教署船隻「善衛號」",22660,0,2266,20394
"31","非經營帳目","603","機器、車輛及設備","801","為深圳灣管制站更換 1 套流動 X 光車輛檢查系統 (AM5531)",48006,0,720,47286
"31","非經營帳目","603","機器、車輛及設備","802","為深圳灣管制站更換 1 套流動 X 光車輛檢查系統 (AM5532)",48006,0,720,47286
"31","非經營帳目","603","機器、車輛及設備","832","更換1艘高速截擊艇 (CE16)",21640,100,1800,19740
"31","非經營帳目","603","機器、車輛及設備","833","更換1艘高速截擊艇 (CE15)",26294,100,1900,24294
"31","非經營帳目","603","機器、車輛及設備","834","更換1艘高速截擊艇 (CE17)",26293,100,1900,24293
"31","非經營帳目","603","機器、車輛及設備","835","更換1艘高速截擊艇 (CE18)",26293,100,1900,24293
"31","非經營帳目","603","機器、車輛及設備","882","為葵涌海關大樓更換1套流動X光車輛檢查系統(AM5529)",46872,700,300,45872
"31","非經營帳目","603","機器、車輛及設備","883","為葵涌海關大樓更換1套流動X光車輛檢查系統(AM5530)",46872,700,300,45872
"33","經營帳目","700","一般非經常開支","528","在寮屋區設置警告標誌",5000,3879,25,1096
"37","經營帳目","700","一般非經常開支","731","聘用資料輸入服務及採購中藥材樣本以規管香港中醫藥事務",975,915,40,20
"37","非經營帳目","603","機器、車輛及設備","855","為輻射監察服務置換1套熱釋光劑量測量系統",22000,221,11100,10679
"37","非經營帳目","603","機器、車輛及設備","856","為放射衞生部置換1套標準輻射劑量計校準設備",15500,0,900,14600
"39","非經營帳目","603","機器、車輛及設備","801","更換將軍澳泵房主泵的控制系統",16000,0,0,16000
"44","經營帳目","700","一般非經常開支","801","鄉郊保育辦公室",500000,0,0,500000
"44","經營帳目","700","一般非經常開支","810","特惠資助以逐步淘汰歐盟四期以前柴油商業車輛",11444000,6819717,1383000,3241283
"44","經營帳目","700","一般非經常開支","823","為專營巴士加裝選擇性催化還原器",400000,87699,109440,202861
"44","經營帳目","700","一般非經常開支","827","回收基金",1000000,66108,23470,910422
"44","經營帳目","700","一般非經常開支","840","綠色運輸試驗基金",300000,46234,13660,240106
"44","經營帳目","700","一般非經常開支","842","專營巴士公司試驗混合動力巴士",33325,33227,0,98
"44","經營帳目","700","一般非經常開支","850","專營巴士公司試驗電動巴士",180000,79964,52000,48036
"44","經營帳目","700","一般非經常開支","880","優化及延展清潔生產伙伴計劃",150000,57375,35618,57007
"44","經營帳目","700","一般非經常開支","915","香港空氣質素指標檢討",8000,817,4000,3183
"44","經營帳目","700","一般非經常開支","931","就都市固體廢物收費的指定垃圾袋及大型廢物標籤制定製造丶存貨及分發系統–可行性研究",7000,0,403,6597
"44","經營帳目","700","一般非經常開支","983","改善珠三角空氣質素的PM2.5研究",9800,6522,1962,1316
"45","非經營帳目","603","機器、車輛及設備","8BY","更換七號滅火輪",98260,0,8500,89760
"45","非經營帳目","603","機器、車輛及設備","8BZ","更換3部旋轉台鋼梯車F279、F280和F281",39690,22898,5000,11792
"45","非經營帳目","603","機器、車輛及設備","8CQ","更換潛水支援快艇2號",16000,0,7200,8800
"45","非經營帳目","603","機器、車輛及設備","8CR","更換潛水支援快艇3號",16000,0,7200,8800
"45","非經營帳目","603","機器、車輛及設備","8CU","更換3部旋轉台鋼梯車F15、F282和F283，以及購置1部供尖東消防局使用的旋轉台鋼梯車",53334,230,8000,45104
"45","非經營帳目","603","機器、車輛及設備","8EX","更換1部重型泡車R12",15000,5273,4300,5427
"45","非經營帳目","603","機器、車輛及設備","8EY","更換1部無積升降台R34",13862,3920,720,9222
"45","非經營帳目","603","機器、車輛及設備","8F4","更換1部重型泡車R32",13199,500,500,12199
"45","非經營帳目","603","機器、車輛及設備","8F5","更換1部梯台車F722",16940,0,0,16940
"45","非經營帳目","603","機器、車輛及設備","8F6","購置1艘滅火輪",125000,0,500,124500
"45","非經營帳目","603","機器、車輛及設備","8F7","購置1艘快速救援船",40000,0,300,39700
"45","非經營帳目","603","機器、車輛及設備","8F8","更換二號滅火輪",97500,0,500,97000
