"總目 (編號)","總目","分目(編號)
","分目","2016–17實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"800","賑災","382","斐濟風災災民賑濟計劃－給予香港仁人家園有限公司的賑災撥款","2636","0","0"
"800","賑災","383","厄瓜多爾地震災民賑濟計劃－給予國際培幼會有限公司的賑災撥款","824","0","0"
"800","賑災","384","厄瓜多爾地震災民賑濟計劃－給予香港世界宣明會的賑災撥款","3878","0","0"
"800","賑災","385","印度旱災災民賑濟計劃－給予香港世界宣明會的賑災撥款","3877","0","0"
"800","賑災","386","斯里蘭卡風災災民賑濟計劃－給予安澤國際救援協會有限公司的賑災撥款","1188","0","0"
"800","賑災","387","孟加拉風災災民賑濟計劃－給予安澤國際救援協會有限公司的賑災撥款","2000","0","0"
"800","賑災","388","孟加拉風災災民賑濟計劃－給予香港仁人家園有限公司的賑災撥款","3322","0","0"
"800","賑災","389","內地貴州省水災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","445","0","0"
"800","賑災","390","斯里蘭卡風災災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","2263","0","0"
"800","賑災","391","厄瓜多爾地震災民實物以外賑濟計劃－給予香港世界宣明會的賑災撥款","1500","0","0"
"800","賑災","392","內地貴州省及湖南省水災災民賑濟計劃－給予樂施會的賑災撥款","1000","0","0"
"800","賑災","393","內地湖南省、湖北省及安徽省水災災民賑濟計劃－給予香港世界宣明會的賑災撥款","5000","0","0"
"800","賑災","394","內地廣西壯族自治區、湖南省、安徽省及雲南省水災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","6309","0","0"
"800","賑災","395","內地湖北省水災災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","4006","0","0"
"800","賑災","396","印度阿薩姆邦水災災民賑濟計劃－給予樂施會的賑災撥款","3490","0","0"
"800","賑災","397","印度比哈爾邦水災災民賑濟計劃－給予香港紅十字會的賑災撥款","1346","0","0"
"800","賑災","398","印度阿薩姆邦及比哈爾邦水災災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","2289","0","0"
"800","賑災","399","海地風災災民賑濟計劃－給予香港世界宣明會的賑災撥款","6000","0","0"
"800","賑災","400","海地風災災民賑濟計劃－給予國際培幼會有限公司的賑災撥款","521","0","0"
"800","賑災","401","越南水災災民賑濟計劃－給予香港仁人家園有限公司的賑災撥款","2550","0","0"
"800","賑災","402","索馬里旱災災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","4934","0"
"800","賑災","403","埃塞俄比亞旱災災民賑濟計劃－給予樂施會的賑災撥款","0","7488","0"
"800","賑災","404","埃塞俄比亞旱災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","0","4640","0"
"800","賑災","405","孟加拉風災災民賑濟計劃－給予安澤國際救援協會有限公司的賑災撥款","0","1909","0"
"800","賑災","406","斯里蘭卡水災災民賑濟計劃－給予香港救助兒童會有限公司的賑災撥款","0","4440","0"
"800","賑災","407","斯里蘭卡水災災民賑濟計劃－給予安澤國際救援協會有限公司的賑災撥款","0","1128","0"
"800","賑災","408","斯里蘭卡水災災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","3471","0"
"800","賑災","409","內地廣西壯族自治區水災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","0","434","0"
"800","賑災","410","印度阿薩姆邦及曼尼普爾邦水災災民賑濟計劃－給予樂施會的賑災撥款","0","3915","0"
"800","賑災","411","斯里蘭卡水災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","0","747","0"
"800","賑災","412","埃塞俄比亞旱災災民賑濟計劃－給予國際培幼會有限公司的賑災撥款","0","1523","0"
"800","賑災","413","內地甘肅省水災災民賑濟計劃－給予樂施會的賑災撥款","0","450","0"
"800","賑災","414","內地湖南省及廣西壯族自治區水災災民賑濟計劃－給予愛德基金會(香港)的賑災撥款","0","5706","0"
"800","賑災","415","內地湖南省水災災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","3520","0"
"800","賑災","416","內地湖南省水災災民賑濟計劃－給予樂施會的賑災撥款","0","700","0"
"800","賑災","417","印度阿薩姆邦水災災民賑濟計劃－給予國際培幼會有限公司的賑災撥款","0","1463","0"
"800","賑災","418","內地陝西省水災災民賑濟計劃－給予國際培幼會有限公司的賑災撥款","0","959","0"
"800","賑災","419","印度比哈爾邦水災災民賑濟計劃－給予香港世界宣明會的賑災撥款","0","3128","0"
"800","賑災","420","印度比哈爾邦水災災民賑濟計劃－給予施達基金會的賑災撥款","0","2883","0"
"800","賑災","421","尼泊爾水災災民賑濟計劃－給予香港仁人家園有限公司的賑災撥款","0","3599","0"
"800","賑災","422","孟加拉水災災民賑濟計劃－給予香港紅十字會的賑災撥款","0","2674","0"
"800","賑災","423","印度阿薩姆邦水災災民賑濟計劃－給予香港仁人家園有限公司的賑災撥款","0","3376","0"
