"總目(編號)","總目","分目(編號)
","分目","項目(編號)
","涵蓋的範圍
","核准承擔額
$’000","截至31.3.2017止的累積開支
$’000","2017–18修訂預算開支
$’000","結餘
$’000"
"341","非經常補助金","014","樂智協會有限公司","002","為位於荃灣的樂智青年中心進行翻新工程","2012","0","53","1959"
"341","非經常補助金","017","防止虐待兒童會有限公司","002","為1間位於北角的保護兒童服務中心進行裝修工程","1478","1246","0","232"
"341","非經常補助金","025","雅麗氏何妙齡那打素慈善基金會","004","為位於九龍灣的雅麗氏何妙齡那打素護養院進行翻新工程","2207","1438","0","769"
"341","非經常補助金","035","建築署","045","在九廣鐵路旺角站興建1間老人中心及進行裝修工程","1458","0","0","1458"
"341","非經常補助金","035","建築署","348","在位於大角咀的香港小輪有限公司私人發展範圍內興建1間護理安老院","23121","10928","0","12193"
"341","非經常補助金","035","建築署","358","在西九龍填海區海輝道興建1間安老院","41858","17336","0","24522"
"341","非經常補助金","035","建築署","390","根據市區重建局發展計劃於灣仔利東街及麥加力歌街興建1間安老院暨社區支援服務中心","36630","27981","0","8649"
"341","非經常補助金","035","建築署","392","在九廣鐵路發展計劃馬鞍山線大圍車廠興建1間有100個宿位的安老院暨有20個名額的長者日間護理中心、1間長者鄰舍中心及1間青少年綜合服務中心","35702","30831","0","4871"
"341","非經常補助金","035","建築署","395","古洞北新發展區興建多種福利服務中心的合約前準備工作費用","15000","0","8000","7000"
"341","非經常補助金","037","循道衛理亞斯理社會服務處","002","為搬遷學校社會工作辦事處和成立綜合青少年服務中心分處往位於葵涌的新樓宇進行裝修工程","2080","0","0","2080"
"341","非經常補助金","068","浸信會愛羣社會服務處","018","為位於彩輝邨的浸信會愛羣社會服務處精神康復者家屬資源及服務中心進行翻新工程","981","0","0","981"
"341","非經常補助金","068","浸信會愛羣社會服務處","021","為1間位於葵青的精神健康綜合社區中心進行裝修工程","4042","0","3459","583"
"341","非經常補助金","068","浸信會愛羣社會服務處","022","為位於灣仔的樂羣樓中途宿舍原址擴展進行翻新工程","11158","0","0","11158"
"341","非經常補助金","068","浸信會愛羣社會服務處","023","支付總部大樓維修工程的費用","3867","0","0","3867"
"341","非經常補助金","069","基督教巴拿巴愛心服務團有限公司","002","為馬鞍山中途宿舍進行翻新工程及購置家具及設備","6918","6366","0","552"
"341","非經常補助金","072","庭恩兒童中心","002","為庭恩兒童中心在學習訓練津貼項目下提供新訓練名額購置家具及設備","602","0","0","602"
"341","非經常補助金","078","香港小童群益會","057","為搬遷位於沙田的賽馬會大圍青少年綜合服務中心進行裝修工程","8303","7618","457","228"
"341","非經常補助金","078","香港小童群益會","058","為搬遷位於觀塘的賽馬會秀茂坪青少年綜合服務中心的副辦事處進行裝修工程","1832","1700","0","132"
"341","非經常補助金","118","嘉頤護理有限公司","001","為沙田1間有100個名額的安老院進行裝修工程","19048","0","0","19048"
"341","非經常補助金","118","嘉頤護理有限公司","002","為沙田1間有100個名額的安老院購置家具和設備","3596","0","0","3596"
"341","非經常補助金","120","香港明愛","143","為位於沙田沙角邨銀鷗樓的蘇沙伉儷綜合家庭服務中心進行裝修工程","662","620","0","42"
"341","非經常補助金","120","香港明愛","167","為位於香港仔的明愛綜合家庭服務中心進行裝修工程","1423","1144","0","279"
"341","非經常補助金","120","香港明愛","195","為明愛荔康居進行消防／屋宇安全設施改善工程","2710","9","2343","358"
"341","非經常補助金","120","香港明愛","199","為位於黃大仙的明愛男士成長中心進行裝修工程","1185","1005","0","180"
"341","非經常補助金","120","香港明愛","201","為搬遷明愛東頭綜合家庭服務中心(黃大仙西南)進行裝修工程","7082","6282","0","800"
"341","非經常補助金","120","香港明愛","202","為搬遷位於沙田的明愛沙田長者中心進行裝修工程","574","492","0","82"
"341","非經常補助金","120","香港明愛","213","為位於灣仔的明愛樂協會進行翻新工程","2255","0","0","2255"
"341","非經常補助金","120","香港明愛","216","為位於屯門的明愛李嘉誠護理安老院進行窗戶修葺工程","728","0","631","97"
"341","非經常補助金","120","香港明愛","217","為明愛綜合家庭服務中心遷往粉嶺南政府綜合大樓進行裝修工程","9768","3535","0","6233"
"341","非經常補助金","120","香港明愛","218","為位於深水埗的1間展能中心暨嚴重弱智人士宿舍及弱智人士輔助宿舍進行裝修工程及購置家具及設備","22948","18780","2234","1934"
"341","非經常補助金","120","香港明愛","221","為位於柴灣的明愛香港太平洋獅子會幼兒學校進行翻新工程","998","0","0","998"
"341","非經常補助金","120","香港明愛","222","為明愛樂勤學校以1輛13座位石油氣私家輕型巴士更換1輛24座位柴油公共巴士","949","0","47","902"
"341","非經常補助金","120","香港明愛","224","為位於西營盤的明愛恩翠苑進行翻新工程","11082","0","30","11052"
"341","非經常補助金","120","香港明愛","225","為明愛隆亨綜合家居照顧服務進行翻新工程","2520","0","0","2520"
