"總目(編號)","總目","分目(編號)
","分目","2016–17實際開支
$’000","2017–18核准預算
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"341","非經常補助金","014","樂智協會有限公司","0","0","53","1200"
"341","非經常補助金","017","防止虐待兒童會有限公司","0","90","0","132"
"341","非經常補助金","025","雅麗氏何妙齡那打素慈善基金會","3241","34","0","47"
"341","非經常補助金","035","建築署","57894","8138","10919","16085"
"341","非經常補助金","037","循道衞理亞斯理社會服務處","0","0","0","832"
"341","非經常補助金","068","浸信會愛羣社會服務處","296","8217","3459","3801"
"341","非經常補助金","069","基督教巴拿巴愛心服務團有限公司","4744","540","0","497"
"341","非經常補助金","072","庭恩兒童中心","0","102","431","241"
"341","非經常補助金","078","香港小童群益會","2117","621","973","360"
"341","非經常補助金","118","嘉頤護理有限公司","0","0","0","7926"
"341","非經常補助金","120","香港明愛","26511","19827","7573","27067"
"341","非經常補助金","135","志蓮淨苑","2486","252","0","660"
"341","非經常補助金","138","中華基督教禮賢會香港區會","495","4595","0","1693"
"341","非經常補助金","140","香港中華基督教青年會","2380","2552","2209","8155"
"341","非經常補助金","144","青松觀有限公司","0","0","0","613"
"341","非經常補助金","150","基督教家庭服務中心","-24902","6226","3184","14693"
"341","非經常補助金","158","竹林明堂有限公司","699","171","0","31"
"341","非經常補助金","162","鐘聲慈善社","0","7961","86","7038"
"341","非經常補助金","166","鍾錫熙長洲安老院有限公司","1923","106","0","40"
"341","非經常補助金","170","中華基督教會","0","328","0","819"
"341","非經常補助金","172","香港善牧女修會會長","63","116","184","26"
"341","非經常補助金","213","頤盈投資有限公司","662","12088","33346","4500"
"341","非經常補助金","218","基督教香港信義會社會服務部總處","18833","7858","3044","3602"
"341","非經常補助金","221","香港大學","608","1607","286","10088"
"341","非經常補助金","222","基督教福音信義會有限公司","0","683","0","1139"
"341","非經常補助金","223","永善亞洲有限公司","0","0","0","654"
"341","非經常補助金","248","榮頌團契有限公司","0","1800","0","4631"
"341","非經常補助金","265","民政事務總署","24181","51000","35052","500"
"341","非經常補助金","268","基督教靈實協會","13404","25837","1597","63600"
"341","非經常補助金","270","協康會","66527","37367","57477","25834"
"341","非經常補助金","276","伸手助人協會","707","739","2072","10199"
"341","非經常補助金","280","香海正覺蓮社","7022","3164","762","8778"
"341","非經常補助金","288","港九街坊婦女會有限公司","0","30","0","67"
"341","非經常補助金","290","港澳信義會社會服務有限公司","0","2149","7237","2432"
"341","非經常補助金","296","香港老年學會","4996","5995","7494","7493"
"341","非經常補助金","300","匡智會","11283","12569","8371","15347"
"341","非經常補助金","310","香港公教婚姻輔導會","937","272","117","211"
"341","非經常補助金","316","香港菩提學會有限公司","1670","1446","2291","687"
"341","非經常補助金","320","香港佛教聯合會","1555","410","4","1498"
"341","非經常補助金","330","香港青少年服務處","0","0","0","213"
"341","非經常補助金","340","香港基督教服務處","8622","2408","3472","5367"
"341","非經常補助金","360","香港社會服務聯會","2426","1831","1819","4537"
"341","非經常補助金","370","香港善導會","2269","9316","0","4799"
"341","非經常補助金","390","香港家庭福利會","3711","171","422","1100"
"341","非經常補助金","400","香港青年協會","1135","5565","500","7914"
"341","非經常補助金","419","香港弱智人士家長聯會","1210","270","0","96"
"341","非經常補助金","444","香港傷健協會","1824","1366","28","4157"
"341","非經常補助金","450","香港遊樂場協會","825","1383","2285","3242"
"341","非經常補助金","460","香港紅十字會","28278","39620","0","14369"
"341","非經常補助金","475","香港社會工作人員協會","1198","89","66","180"
"341","非經常補助金","476","香港復康會","1135","722","344","3876"
"341","非經常補助金","480","香港耆康老人福利會","37499","23962","2493","12336"
"341","非經常補助金","484","香港盲人輔導會","4803","1572","1303","3808"
"341","非經常補助金","486","香港聾人福利促進會","0","2155","0","2300"
"341","非經常補助金","490","香港保護兒童會","3970","6059","3722","3228"
"341","非經常補助金","510","香港學生輔助會有限公司","-1","9272","1564","5150"
"341","非經常補助金","512","香港防癆心臟及胸病協會","0","0","0","955"
"341","非經常補助金","516","香港基督教女青年會","4769","2271","334","1788"
"341","非經常補助金","530","房屋署","76234","233413","59473","61932"
"341","非經常補助金","580","香港蘇浙滬同鄉會","7599","9511","3296","9439"
"341","非經常補助金","600","基督教懷智服務處","5155","3299","550","5354"
"341","非經常補助金","610","藍田街坊福利會有限公司","0","149","153","178"
"341","非經常補助金","620","九龍樂善堂","0","6215","1248","4887"
"341","非經常補助金","630","香海蓮社","0","0","0","897"
"341","非經常補助金","634","香港路德會社會服務處","6640","3747","1701","5905"
"341","非經常補助金","646","香港心理衞生會","0","3202","0","2191"
"341","非經常補助金","649","香港基督教循道衛理聯合教會","0","1329","3841","880"
"341","非經常補助金","660","旺角街坊會有限公司","0","0","0","200"
"341","非經常補助金","672","街坊工友服務處教育中心有限公司","0","19","0","47"
"341","非經常補助金","674","鄰舍輔導會","-22605","9912","1893","14592"
"341","非經常補助金","682","新生精神康復會","2500","9371","3141","10230"
"341","非經常補助金","698","聖公會聖西門社會服務處","89","1051","953","98"
"341","非經常補助金","728","竹園區神召會有限公司","199","342","160","599"
"341","非經常補助金","730","保良局","27203","26931","28337","31523"
"341","非經常補助金","736","博愛醫院","3431","34542","14080","62704"
"341","非經常補助金","768","利民會","451","1225","67","2204"
"341","非經常補助金","790","救世軍","9106","20154","6298","8324"
"341","非經常補助金","792","生命熱線有限公司","0","93","112","117"
"341","非經常補助金","794","香港撒瑪利亞防止自殺會","295","20","34","32"
"341","非經常補助金","810","香港童軍總會","0","76939","5000","100000"
"341","非經常補助金","820","香港聖公會福利協會有限公司","4508","35675","13305","15167"
"341","非經常補助金","837","社會福利署","317185","1041700","512928","1096683"
"341","非經常補助金","839","香港戒毒會","0","1106","0","2212"
"341","非經常補助金","840","香港扶幼會","661","174","177","3145"
"341","非經常補助金","844","扶康會","6774","7206","3371","7739"
"341","非經常補助金","848","香港耀能協會","19166","9110","3913","11465"
"341","非經常補助金","860","聖雅各福群會","9442","8637","5770","20752"
"341","非經常補助金","872","香港神託會","1979","5077","0","3259"
"341","非經常補助金","890","基督教香港崇真會社會服務部","16","1742","0","1611"
"341","非經常補助金","893","東林念佛堂有限公司","8092","3175","552","2671"
"341","非經常補助金","894","通善壇安老院","19","1","0","20"
"341","非經常補助金","896","東華三院","109736","94456","73531","123934"
"341","非經常補助金","910","香港穆斯林聯會","0","468","0","416"
