"收入","總目 (編號)","總目","","分目(編號)
","分目","截至31.3.2017止的實際收入
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"償還的貸款","251","房屋","香港房屋協會","213","郊區公共房屋(i)對面海","22977","758","758"
"償還的貸款","251","房屋","香港房屋協會","213","郊區公共房屋(ii)沙頭角","71135","2762","2762"
"償還的貸款","251","房屋","香港房屋協會","216","首次置業貸款計劃","12156970","332","24"
"償還的貸款","251","房屋","公務員的房屋資助","251","購屋貸款","0","39000","61200"
"償還的貸款","252","給予學校／教師的貸款","","202","給予買位計劃學校的貸款","46367","65000","0"
"償還的貸款","252","給予學校／教師的貸款","","204","給予非牟利國際學校的貸款","345622","63429","63429"
"償還的貸款","252","給予學校／教師的貸款","","206","為專上教育機構提供開辦課程貸款","3066454","369947","418119"
"償還的貸款","254","給予學生的貸款","","201","為修讀政府資助課程的專上學生提供須經入息審查的貸款","10950887","156624","165625"
"償還的貸款","254","給予學生的貸款","","202","免入息審查貸款計劃","9473224","1003177","956373"
"償還的貸款","254","給予學生的貸款","","203","為專上學生提供須經入息審查的貸款","932659","142676","147676"
"償還的貸款","254","給予學生的貸款","","211","認可專上學院的學生","188532","1","1"
"償還的貸款","255","為因工作而受傷的僱員及因與工作有關意外而死亡僱員的遺屬提供免息貸款","","201","給予因工作而受傷的僱員及死亡僱員的遺屬的貸款","0","104","138"
"償還的貸款","262","漁農礦產","","201","漁業貸款","0","45285","69204"
"償還的貸款","262","漁農礦產","","232","魚類統營處貸款基金－休漁期貸款計劃","0","55824","43723"
"償還的貸款","269","樓宇安全","","201","改善樓宇安全綜合貸款計劃","0","55477","54450"
"償還的貸款","275","中小型企業","","201","中小型企業特別信貸計劃","0","186","129"
"償還的貸款","276","供水事宜","","201","貸款予廣東省人民政府進行水質改善工程","1654800","118200","118200"
"貸款利息","","","","","","0","152871","166221"
"過期償還貸款的附加費","","","","","","0","4722","4722"
"投資收入","","","","","","0","121149","134000"
"出售貸款所得的款項","","","","","","0","292813","370950"
"從政府一般收入轉撥的款項","","","","","","0","2000000","1000000"
