"","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"社區及對外事務","康樂、文化及市政設施－文化設施","7067RE","社區重點項目計劃(油尖旺區)－油尖旺多元文化活動中心","53600","1887","13925","26934"
"社區及對外事務","康樂、文化及市政設施－文化設施","7068RE","社區重點項目計劃(灣仔區)－興建摩頓臺活動中心","乙級工程","0","0","4200"
"社區及對外事務","康樂、文化及市政設施－文化設施","7069RE","社區重點項目計劃(大埔區)－改裝大埔官立中學作藝術中心","68000","4","9580","55330"
"社區及對外事務","康樂、文化及市政設施－文化設施","7070RE","社區重點項目計劃(黃大仙區)－摩士公園的康樂設施改善工程","60900","2915","10600","13100"
"社區及對外事務","康樂、文化及市政設施－綜合設施","7059RG","社區重點項目計劃(北區)－改善粉嶺蝴蝶山及畫眉山之行山徑及增建附屬設施","48400","8970","14000","20000"
"社區及對外事務","康樂、文化及市政設施－綜合設施","7060RG","社區重點項目計劃(北區)－改善沙頭角之行山徑及增建設施","43700","6724","14000","20000"
"社區及對外事務","康樂、文化及市政設施－綜合設施","7061RG","社區重點項目計劃(離島區)－榕樹灣圖書館及南丫島歷史文物室","44800","1101","19500","22600"
"社區及對外事務","康樂、文化及市政設施－綜合設施","7065RG","社區重點項目計劃(深水埗區)－美孚鄰舍活動中心","32000","7913","12449","4000"
"社區及對外事務","康樂、文化及市政設施－綜合設施","7066RG","社區重點項目計劃(屯門區)－推動屯門青少年發展","3700","34","2500","1166"
"社區及對外事務","康樂、文化及市政設施－綜合設施","7067RG","社區重點項目計劃(西貢區)－建設將軍澳文物行山徑及歷史風物資料館","45400","0","16000","26600"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7448RO","梅窩改善工程第一期","193100","172115","10424","7264"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7453RO","社區重點項目計劃(中西區)－美化及活化西區副食品批發市場的臨海地段","90100","21894","44800","6000"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7454RO","社區重點項目計劃(沙田區)－活化城門河河濱沙田市中心段","53600","11685","24030","17885"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7455RO","社區重點項目計劃(黃大仙區)－黃大仙廣場擴闊及改善工程","31100","16701","9000","5373"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7458RO","社區重點項目計劃(觀塘區)－觀塘海濱音樂噴泉","乙級工程","0","0","4200"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7460RO","社區重點項目計劃(觀塘區)－觀塘崇仁街升降機塔","40700","846","4200","9000"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7461RO","社區重點項目計劃(荃灣區)－重建西樓角花園","95000","4289","30500","31120"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7462RO","社區重點項目計劃(九龍城區)－活化和發展牛棚後方用地","90100","1705","29000","28720"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7463RO","社區重點項目計劃(東區)－東區文化廣場","90600","2978","24000","32000"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7464RO","梅窩改善工程第二期第一階段","72300","5861","27000","20000"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7465RO","社區重點項目計劃(屯門區)－活化屯門河及市中心環境","62500","1034","14400","25667"
"社區及對外事務","康樂、文化及市政設施－休憩用地","7469RO","大澳改善工程第二期第一階段","124000","8093","36010","24894"
"社區及對外事務","康樂、文化及市政設施－體育設施","7259RS","連接新界西北及新界東北之單車徑－屯門至上水段(餘下工程)","890900","98489","123710","207000"
"社區及對外事務","康樂、文化及市政設施－體育設施","7271RS","連接新界西北及新界東北之單車徑－上水至馬鞍山段","230300","226611","220","3468"
"社區及對外事務","康樂、文化及市政設施－體育設施","7276RS","荃灣至屯門單車徑－詳細設計和工地勘測(前期和第一階段工程)","28200","4343","621","1251"
