"","","","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"非經常資助金","教育資助金","小學","8023EA","在黃大仙慈雲山道重置中華基督教會基慈小學","92700","91967","6","727"
"非經常資助金","教育資助金","小學","8025EA","半山區柏道聖士提反女子中學附屬小學重建計劃","100000","95407","100","100"
"非經常資助金","教育資助金","小學","8027EA","擴建及改建跑馬地黃泥涌道聖保祿天主教小學","467800","2372","39149","92609"
"非經常資助金","教育資助金","小學","8028EA","在灣仔聖佛蘭士街重置嘉諾撒聖方濟各學校","103600","96825","310","100"
"非經常資助金","教育資助金","小學","8029EA","灣仔堅尼地道聖公會聖雅各小學重建計劃","200800","158020","100","100"
"非經常資助金","教育資助金","小學","8030EA","九龍佐敦道拔萃女小學重建計劃","163000","123579","0","100"
"非經常資助金","教育資助金","中學","8082EB","薄扶林羅富國徑的職業先修學校","128700","99748","100","100"
"非經常資助金","教育資助金","中學","8089EB","九龍佐敦道拔萃女書院重建計劃","208600","153393","0","100"
"非經常資助金","教育資助金","中學","8090EB","灣仔堅尼地道嘉諾撒聖方濟各書院重建計劃","318700","258658","30000","10200"
"非經常資助金","教育資助金","中學","8091EB","改建及裝修中環麥當勞道聖保羅男女中學","150600","133037","100","100"
"非經常資助金","教育資助金","中學","8092EB","九龍牛津道東華三院黃笏南中學重建計劃","323700","280452","900","410"
"非經常資助金","教育資助金","中學","8093EB","新界沙田浸信會呂明才中學興建新翼大樓","148800","31215","39910","44153"
"非經常資助金","教育資助金","中學","8094EB","香港羅便臣道英華女學校重建計劃","653400","276028","80580","148333"
"非經常資助金","教育資助金","雜項教育資助金","8035EC","為最後一期學校改善計劃下的學校進行建造工程(第三批乙)","652300","523089","100","100"
"非經常資助金","教育資助金","雜項教育資助金","8036EC","灣仔瑪利曼小學重建計劃及瑪利曼中學改善計劃","123800","112068","100","100"
"非經常資助金","教育資助金","雜項教育資助金","8041EC","為最後一期學校改善計劃下的學校進行建造工程(第四批乙)","840300","699540","2590","100"
"非經常資助金","教育資助金","雜項教育資助金","8046EC","薄扶林鋼綫灣村的1所私立獨立學校(中學暨小學)","184100","178771","100","100"
"非經常資助金","教育資助金","雜項教育資助金","8052EC","為最後一期學校改善計劃下的學校進行建造工程(第五批乙)","282000","236041","100","100"
"非經常資助金","教育資助金","雜項教育資助金","8061EC","宿舍發展基金","乙級工程","0","0","12157457"
"非經常資助金","教育資助金","雜項教育資助金","8011EE","九龍何文田巴富街九龍小學重建計劃","187400","117837","0","100"
"非經常資助金","教育資助金","特殊學校","8032ED","改建香海正覺蓮社佛教普光學校","乙級工程","0","0","3169"
"非經常資助金","教育資助金","特殊學校","8033ED","大埔匡智松嶺學校宿舍設施及重置匡智松嶺第二校宿舍設施","乙級工程","0","0","36200"
"非經常資助金","工業教育及工業訓練","","8020EM","發展職業訓練局國際廚藝學院","657500","310770","324610","22107"
"非經常資助金","工業教育及工業訓練","","8023EM","茶果嶺職業訓練局新校舍(建築工程計劃施工前工作)","乙級工程","0","0","50860"
"非經常資助金","大學","香港中文大學","8055EF","校園北陲學生宿舍(A3及A4座)","465500","0","133800","232700"
"非經常資助金","大學","香港理工大學","8026EK","第8期發展計劃","1337400","1259690","3000","16000"
"非經常資助金","大學","香港大學","8057EG","大學聯合典藏學術書庫","乙級工程","0","0","100260"
"非經常資助金","大學","香港大學","8063EG","沙宣道3號教學大樓","乙級工程","0","2600","20900"
"非經常資助金","醫療資助金","","8008MA","明愛醫院第2期重建計劃","1719600","1533552","7700","12400"
"非經常資助金","醫療資助金","","8014MD","重建廣華醫院－籌備工作","552700","331876","60000","36000"
"非經常資助金","醫療資助金","","8015MD","廣華醫院重建計劃－主要工程(第一期大樓拆卸及下層結構工程)","654800","81831","192000","215000"
"非經常資助金","醫療資助金","","8016MD","廣華醫院重建計劃－主要工程(第一期大樓興建及相關工程)","乙級工程","0","0","317000"
"非經常資助金","醫療資助金","","8005ME","博愛醫院重建及擴建計劃","1666100","1403140","2000","3200"
"非經常資助金","醫療資助金","","8005MF","仁濟醫院重建工程","590500","535479","7000","14000"
"非經常資助金","醫療資助金","","8005MJ","基督教聯合醫院擴建計劃－籌備工作","352300","254601","9800","45000"
"非經常資助金","醫療資助金","","8006MJ","基督教聯合醫院擴建計劃－主要工程(拆卸及下層結構工程)","1791600","496316","480000","350000"
"非經常資助金","醫療資助金","","8003ML","靈實醫院擴建計劃","2073000","30955","70000","400000"
"非經常資助金","醫療資助金","","8063MM","北大嶼山醫院第1期","2482000","1909908","7300","9000"
"非經常資助金","醫療資助金","","8067MM","紅十字會輸血服務中心總部擴建計劃","893100","114754","197500","254000"
"非經常資助金","醫療資助金","","8071MM","在伊利沙伯醫院重置油麻地專科診所","1891600","1408171","50000","19000"
"非經常資助金","醫療資助金","","8073MM","天水圍醫院","3910900","2747031","64000","50000"
"非經常資助金","醫療資助金","","8076MM","設立兒童專科卓越醫療中心","12985500","4049333","3700000","700000"
"非經常資助金","醫療資助金","","8084MM","瑪麗醫院重建工程第1期－籌備工作","1592800","1054692","229000","76000"
"非經常資助金","醫療資助金","","8003MQ","香港佛教醫院翻修工程","563300","116880","97000","233000"
"非經常資助金","醫療資助金","","8003MR","將軍澳醫院擴建工程","1944900","1473952","29500","22400"
"非經常資助金","資助金－雜項","","8004QG","消費者委員會資源中心大廈改善計劃","5832","982","4482","368"
"非經常資助金","資助金－雜項","","8005QG","消費者委員會－辦公室裝修工程","乙級工程","0","1720","10544"
"非經常資助金","資助金－雜項","","8015QJ","香港體育學院重新發展計劃","1707500","1614846","4970","30964"
"非經常資助金","資助金－雜項","","8017QJ","香港體育學院重新發展計劃－籌備工作","52900","44990","230","1646"
"非經常資助金","資助金－雜項","","8028QJ","香港演藝學院灣仔校園擴建及改善工程","444800","171729","206610","63220"
"非經常資助金","資助金－雜項","","8039QJ","青年宿舍計劃－香港青少年發展聯會的前期顧問研究(九龍內地段第6223號)","2100","1454","0","306"
"非經常資助金","資助金－雜項","","8040QJ","香港藝術發展局辦事處搬遷","11700","5982","930","105"
"非經常資助金","資助金－雜項","","8041QJ","青年宿舍計劃－香港青年協會的建造工程","150900","0","0","124981"
"非經常資助金","資助金－雜項","","8044QJ","青年宿舍計劃－保良局元朗馬田壆青年宿舍的建造工程","乙級工程","0","0","164447"
"非經常資助金","資助金－雜項","","8045QJ","青年宿舍計劃－保良局元朗馬田壆青年宿舍的施工前工作","68100","1937","10315","799"
"非經常資助金","資助金－雜項","","8046QJ","青年宿舍計劃－東華三院的施工前工作","乙級工程","0","0","12460"
"非經常資助金","資助金－雜項","","8049QJ","香港演藝學院歌劇院演藝廳、劇院座位及更衣室翻新工程","乙級工程","0","0","13080"
"非經常資助金","資助金－雜項","","8050QJ","青年宿舍計劃－香港女童軍總會佐敦青年宿舍的施工前工作","乙級工程","0","0","7860"
"非經常資助金","資助金－雜項","","8001QR","西港島線－財務資助","12252000","11875000","0","5000"
"非經常資助金","資助金－雜項","","8003QR","港珠澳大橋－主橋撥款資助","9046500","7896539","0","1149961"
"非經常資助金","資助金－雜項","","8002QW","活化計劃－活化前荔枝角醫院為饒宗頤文化館／香港文化傳承","258500","239795","0","5000"
"非經常資助金","資助金－雜項","","8007QW","活化計劃－活化美荷樓為城市旅舍","209500","167004","0","2900"
"非經常資助金","資助金－雜項","","8010QW","活化計劃－活化前荔枝角醫院為饒宗頤文化館／香港文化傳承－合約前顧問研究及小型勘測工程","11810","9167","0","2000"
"非經常資助金","資助金－雜項","","8012QW","活化計劃－活化石屋為石屋家園","43000","35587","809","100"
"非經常資助金","資助金－雜項","","8016QW","活化計劃－活化藍屋建築群為We嘩藍屋","75400","57528","2830","8580"
"非經常資助金","資助金－雜項","","8017QW","活化計劃－活化舊大埔警署為綠滙學苑","54900","46247","200","1500"
"非經常資助金","資助金－雜項","","8018QW","活化計劃－活化必列啫士街街巿為香港新聞博覽館","85300","13161","31888","40185"
"非經常資助金","資助金－雜項","","8019QW","活化計劃－活化前粉嶺裁判法院為香港青年協會領袖發展中心","111600","33408","44920","32141"
"非經常資助金","資助金－雜項","","8020QW","活化計劃－活化虎豹別墅為虎豹樂圃","167300","26126","55652","67363"
"非經常資助金","資助金－雜項","","8025QW","活化計劃－活化書館街12號為大坑火龍文化館－合約前顧問研究及小型勘測工程","4200","741","1100","900"
"非經常資助金","資助金－雜項","","8026QW","活化計劃－活化舊牛奶公司高級職員宿舍為薄鳧林牧場－合約前顧問研究及小型勘測工程","5800","280","1408","1000"
"非經常資助金","資助金－雜項","","8027QW","活化計劃－活化何東夫人醫局為何東夫人醫局－生態研習中心－合約前顧問研究及小型勘測工程","3800","595","1005","600"
"非經常資助金","資助金－雜項","","8028QW","活化計劃－活化何東夫人醫局為何東夫人醫局－生態研習中心","乙級工程","0","0","4100"
"非經常資助金","資助金－雜項","","8029QW","活化計劃－活化書館街12號為大坑火龍文化館","乙級工程","0","0","3700"
"非經常資助金","資助金－雜項","","8030QW","活化計劃－活化舊牛奶公司高級職員宿舍為薄鳧林牧場","乙級工程","0","0","2400"
