"","分目(編號)","核准項目","核准項目預算
$’000","截至31.3.2017止的實際開支
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"屋宇署","A005ZC","中央電子資料呈交及處理系統","0","0","0","595"
"政府統計處","A031XG","2016年中期人口統計的電腦設備和服務","88814","73427","9161","3049"
"懲教署","A036XL","更換核心資訊科技系統為綜合懲教及更生管理系統","352754","673","6435","10857"
"香港海關","A044XM","海關資訊及風險管理系統","37954","9581","11535","10275"
"衞生署","A021ZS","衞生署的服務提升及架構轉型","0","0","0","1532"
"律政司","A008YN","建立經核實、經認證及可檢索的香港法例電子資料庫","79395","54210","16585","433"
"消防處","A040XR","開發資產管理及保養系統","49830","38269","7040","1749"
"消防處","A041XR","開發電腦系統以提供調派後指引","37880","1514","2541","16546"
"政府物流服務署","A008YC","更換採購及合約管理系統和常備庫存物料系統","72659","512","8620","6375"
"政府總部：食物及衞生局(衞生科)","A074XV","開發全港電子健康紀錄互通系統","1124192","702000","31000","63327"
"政府總部：政府資訊科技總監辦公室","A068XV","在政府場地提供Wi-Fi無線上網設施","285600","253580","19221","5204"
"政府總部：政府資訊科技總監辦公室","A080XV","為電子政府服務提供新的系統託管基建設施","135000","129565","3000","1623"
"政府總部：政府資訊科技總監辦公室","A083XV","構建政府雲端平台","242000","69881","31600","41600"
"政府總部：政府資訊科技總監辦公室","A084XV","Wi-Fi連通城市","474700","4805","22202","67200"
"政府總部：政府資訊科技總監辦公室","A086XV","中央管理通訊系統","252210","0","1000","10580"
"政府總部：政府資訊科技總監辦公室","A087XV","數碼個人身分","0","0","0","9100"
"政府總部：政府資訊科技總監辦公室","A088XV","敏捷開發政府服務的數碼轉型","0","0","0","17428"
"香港警務處","A104YU","發展第二代通用資訊系統","411272","83459","1640","154235"
"香港警務處","A137YU","更換警務處姓名索引電腦系統及刑事情報電腦系統的基礎平台設施","81672","4671","7998","39681"
"香港警務處","A139YU","更換及提升香港警務處資訊科技基建設施及應用系統","396823","15257","30221","68888"
"入境事務處","A052YF","提升電腦系統以處理電子往來港澳通行證及擴展e-道服務","247515","183697","10530","1335"
"入境事務處","A058YF","新資訊科技基建設施","862202","318956","29832","34091"
"入境事務處","A062YF","新出入境管制系統","912215","349083","248734","112764"
"入境事務處","A069YF","為管制站裝設電腦系統","168548","366","6935","79297"
"入境事務處","A076YF","新一代智能身份證系統","1448786","2987","37159","315084"
"入境事務處","A077YF","新一代電子護照系統","357833","663","4840","46027"
"入境事務處","A080YF","新一代個案簡易處理系統","0","0","0","870"
"稅務局","A035YK","推行系統基礎設施改善計劃","305315","248151","40188","4971"
"知識產權署","A009YO","重新建立知識產權署的電子處理系統、電子提交系統和網上檢索系統","67114","4985","10094","20495"
"司法機構","A036YL","於西九龍法院大樓配備資訊科技基礎設施與數碼錄音及謄寫服務系統","51796","32275","15729","3792"
"司法機構","A037YL","推行司法機構資訊科技策略計劃","682430","135131","133583","158927"
"康樂及文化事務署","A084VA","為香港公共康體服務開發智能康體活動系統","0","0","110","6183"
"社會福利署","A012ZG","更換社會保障電腦系統","386139","172605","117606","27957"
"社會福利署","A013ZG","建立新一代資訊科技基建","175767","40442","37589","60384"
"運輸署","A125ZN","開發交通及事故管理系統","100000","47122","11800","16579"
"運輸署","A170ZN","提升車輛牌照及駕駛執照綜合資料電腦系統的基本設施","71284","27645","31395","1100"
"運輸署","A182ZN","提升運輸資料系統","74000","587","9300","40000"
"在職家庭及學生資助事務處","A008ZO","綜合學生資助系統","65371","44825","5347","6667"
"整體撥款","A007GX","新行政工作電腦系統","0","0","945000","1060000"
"完成、取消或削減的工程","","","0","0","79849","0"
