"Head","Account","Subhead (Code)","Subhead","Item (Code)","Ambit","Approved commitment
$'000","Accumulated expenditure
to 31.3.2017
$'000","Revised estimated expenditure
for 2017-18
$'000","Balance
$'000"
"22","Operating Account","700","General non-recurrent","536","Setting up a marine sanctuary in the Sha Chau and Lung Kwu Chau area",21000,19229,50,1721
"22","Operating Account","700","General non-recurrent","540","Artificial reefs project",80100,75006,200,4894
"22","Operating Account","700","General non-recurrent","801","Sustainable Agricultural Development Fund",500000,0,2500,497500
"22","Operating Account","700","General non-recurrent","808","Sustainable Fisheries Development Fund",500000,13463,15800,470737
"22","Operating Account","700","General non-recurrent","852","One-off assistance package to trawler vessel owners, local deckhands and fish collector owners affected by the trawl ban and other related measures",1726800,1078534,17972,630294
"22","Capital Account","603","Plant, vehicles and equipment","811","Procurement of one patrol vessel",13950,745,5987,7218
"30","Operating Account","700","General non-recurrent","999","Consultancy on Rehabilitation Programmes provided by Drug Addiction Treatment Centre",800,400,0,400
"30","Capital Account","603","Plant, vehicles and equipment","801","Replacement and enhancement of the closed circuit television system for Pik Uk Prison",37409,0,0,37409
"30","Capital Account","603","Plant, vehicles and equipment","803","Replacement and enhancement of the closed circuit television system for Tung Tau Correctional Institution",15940,0,400,15540
"30","Capital Account","603","Plant, vehicles and equipment","804","Replacement and enhancement of the closed circuit television system for Tai Lam Correctional Institution",24510,0,934,23576
"30","Capital Account","603","Plant, vehicles and equipment","805","Replacement and enhancement of the closed circuit television system for Tong Fuk Correctional Institution",35274,0,400,34874
"30","Capital Account","603","Plant, vehicles and equipment","828","Replacement of the departmental launch ""Seaward""",22660,0,2266,20394
"31","Capital Account","603","Plant, vehicles and equipment","801","Replacement of one mobile X-ray vehicle scanning system for Shenzhen Bay Control Point (AM5531)",48006,0,720,47286
"31","Capital Account","603","Plant, vehicles and equipment","802","Replacement of one mobile X-ray vehicle scanning system for Shenzhen Bay Control Point (AM5532)",48006,0,720,47286
"31","Capital Account","603","Plant, vehicles and equipment","832","Replacement of one high speed pursuit craft (CE16)",21640,100,1800,19740
"31","Capital Account","603","Plant, vehicles and equipment","833","Replacement of one high speed pursuit craft (CE15)",26294,100,1900,24294
"31","Capital Account","603","Plant, vehicles and equipment","834","Replacement of one high speed pursuit craft (CE17)",26293,100,1900,24293
"31","Capital Account","603","Plant, vehicles and equipment","835","Replacement of one high speed pursuit craft (CE18)",26293,100,1900,24293
"31","Capital Account","603","Plant, vehicles and equipment","882","Replacement of one mobile X-ray vehicle scanning system for Kwai Chung Customhouse (AM5529)",46872,700,300,45872
"31","Capital Account","603","Plant, vehicles and equipment","883","Replacement of one mobile X-ray vehicle scanning system for Kwai Chung Customhouse (AM5530)",46872,700,300,45872
"33","Operating Account","700","General non-recurrent","528","Provision of warning signs in squatter areas",5000,3879,25,1096
"37","Operating Account","700","General non-recurrent","731","Acquisition of data entry service and procurement of specimens of Chinese herbal medicines for regulation of Chinese medicines in Hong Kong",975,915,40,20
"37","Capital Account","603","Plant, vehicles and equipment","855","Replacement of a thermoluminescent dosimetry system for Radiation Monitoring Service",22000,221,11100,10679
"37","Capital Account","603","Plant, vehicles and equipment","856","Replacement of a standard radiological dosimetry calibration facility for Radiation Health Unit",15500,0,900,14600
"39","Capital Account","603","Plant, vehicles and equipment","801","Replacement of control system for main pumps at Tseung Kwan O Pumping Station",16000,0,0,16000
"44","Operating Account","700","General non-recurrent","801","Countryside Conservation Office",500000,0,0,500000
"44","Operating Account","700","General non-recurrent","810","Ex-gratia payment for phasing out pre-Euro IV diesel commercial vehicles",11444000,6819717,1383000,3241283
"44","Operating Account","700","General non-recurrent","823","Retrofitting Franchised Buses with Selective Catalytic Reduction Devices",400000,87699,109440,202861
"44","Operating Account","700","General non-recurrent","827","Recycling Fund",1000000,66108,23470,910422
"44","Operating Account","700","General non-recurrent","840","Pilot Green Transport Fund",300000,46234,13660,240106
"44","Operating Account","700","General non-recurrent","842","Trial of Hybrid Buses by Franchised Bus Companies",33325,33227,0,98
"44","Operating Account","700","General non-recurrent","850","Trial of Electric Buses by Franchised Bus Companies",180000,79964,52000,48036
"44","Operating Account","700","General non-recurrent","880","Enhancement and Extension of the Cleaner Production Partnership Programme",150000,57375,35618,57007
"44","Operating Account","700","General non-recurrent","915","Review of the Air Quality Objectives for Hong Kong",8000,817,4000,3183
"44","Operating Account","700","General non-recurrent","931","Establishment of the Manufacturing, Inventory and Distribution System for Designated Garbage Bags and Designated Labels under the Municipal Solid Waste Charging ¡V Feasibility Study",7000,0,403,6597
"44","Operating Account","700","General non-recurrent","983","PM2.5 Study for Air Quality Improvement in the Pearl River Delta Region",9800,6522,1962,1316
"45","Capital Account","603","Plant, vehicles and equipment","8BY","Replacement of Fireboat No. 7",98260,0,8500,89760
"45","Capital Account","603","Plant, vehicles and equipment","8BZ","Three replacement turntable ladders F279, F280 and F281",39690,22898,5000,11792
"45","Capital Account","603","Plant, vehicles and equipment","8CQ","Replacement of diving support speedboat No. 2",16000,0,7200,8800
"45","Capital Account","603","Plant, vehicles and equipment","8CR","Replacement of diving support speedboat No. 3",16000,0,7200,8800
"45","Capital Account","603","Plant, vehicles and equipment","8CU","Three replacement turntable ladders F15, F282 and F283 and acquisition of a turntable ladder for Tsim Tung Fire Station",53334,230,8000,45104
"45","Capital Account","603","Plant, vehicles and equipment","8EX","One replacement crash fire tender R12",15000,5273,4300,5427
"45","Capital Account","603","Plant, vehicles and equipment","8EY","One replacement jackless snorkel R34",13862,3920,720,9222
"45","Capital Account","603","Plant, vehicles and equipment","8F4","One replacement crash fire tender R32",13199,500,500,12199
"45","Capital Account","603","Plant, vehicles and equipment","8F5","One replacement aerial ladder platform F722",16940,0,0,16940
"45","Capital Account","603","Plant, vehicles and equipment","8F6","Acquisition of a fireboat",125000,0,500,124500
"45","Capital Account","603","Plant, vehicles and equipment","8F7","Acquisition of a fast rescue vessel",40000,0,300,39700
"45","Capital Account","603","Plant, vehicles and equipment","8F8","Replacement of Fireboat No. 2",97500,0,500,97000
"45","Capital Account","603","Plant, vehicles and equipment","8F9","Replacement of Command Boat No. 1",120000,0,0,120000
"45","Capital Account","603","Plant, vehicles and equipment","8FA","Replacement of Command Boat No. 2",120000,0,0,120000
"47","Operating Account","700","General non-recurrent","801","Providing Public Wi-Fi services in Study Rooms and Youth Service Centres",25300,0,1740,23560
"47","Operating Account","700","General non-recurrent","877","Internet Access for Needy Students",220000,149821,31537,38642
"47","Operating Account","700","General non-recurrent","894","Enriched IT Programme in Secondary Schools",75000,18832,10479,45689
"49","Operating Account","700","General non-recurrent","818","Assistance Scheme for Hawkers in Fixed-pitch Hawker Areas",230000,164969,43300,21731
"53","Operating Account","700","General non-recurrent","802","Implementation of Arts Space Project at Genesis by Hong Kong Arts Development Council ",8720,5329,400,2991
"53","Operating Account","700","General non-recurrent","808","International Youth Exchange Programme",100000,0,2000,98000
"53","Operating Account","700","General non-recurrent","809","Promotion of collaboration between arts groups and schools",30240,0,0,30240
"53","Operating Account","700","General non-recurrent","824","Multi-faceted Excellence Scholarship",300000,12823,14871,272306
"53","Operating Account","700","General non-recurrent","876","Cantonese Opera Development Fund",139000,69000,0,70000
"53","Operating Account","700","General non-recurrent","894","Youth Development Fund",300000,150,13445,286405
"53","Operating Account","700","General non-recurrent","895","Art Development Matching Grants Pilot Scheme",800000,22533,58728,718739
"53","Operating Account","700","General non-recurrent","933","2019 Beijing International Horticultural Exposition",7584,0,0,7584
"53","Operating Account","700","General non-recurrent","991","Operations Consultancy for the Kai Tak Sports Park",40000,23832,10240,5928
"53","Capital Account","942","Hong Kong Academy for Performing Arts","805","Provision and Installation of Professional Equipment for Special Purpose Laboratories and Studio",23793,0,8000,15793
"55","Operating Account","700","General non-recurrent","480","Film Development Fund",540000,348668,46999,144333
"55","Operating Account","700","General non-recurrent","866","CreateSmart Initiative",2000000,607057,141378,1251565
"55","Operating Account","700","General non-recurrent","897","Hong Kong Design Centre",268600,221197,24435,22968
"60","Capital Account","603","Plant, vehicles and equipment","801","Procurement of one Bridge Inspection Vehicle for Tsing Ma Control Area",13780,0,2756,11024
"60","Capital Account","603","Plant, vehicles and equipment","802","Procurement of one Bridge Inspection Vehicle for Tsing Sha Control Area",13780,0,2756,11024
"63","Operating Account","700","General non-recurrent","801","Setting-up Expenses Reimbursement and Winding-up Expenses Reimbursement for District Council Members (2012-2015 Term)",49000,33071,250,15679
"63","Operating Account","700","General non-recurrent","803","Signature Project Scheme (Sham Shui Po District) - Non-works components relating to Shek Kip Mei Community Services Centre",5960,684,702,4574
"63","Operating Account","700","General non-recurrent","806","Preparatory public engagement and non-works related studies for Signature Project Scheme",9000,6361,500,2139
"63","Operating Account","700","General non-recurrent","807","Signature Project Scheme (Wong Tai Sin District) - Non-works components relating to Expansion and Improvement of Wong Tai Sin Square",1161,718,387,56
"63","Operating Account","700","General non-recurrent","817","Setting-up Expenses Reimbursement and Winding-up Expenses Reimbursement for District Council Members (2016-2019 Term)",47090,12499,6700,27891
"63","Operating Account","700","General non-recurrent","822","Signature Project Scheme (Kwai Tsing District) - Non-works components relating to Enhancement of Community Healthcare",86800,26177,15894,44729
"63","Operating Account","700","General non-recurrent","831","Signature Project Scheme (Central and Western District) - Non-works components relating to Harbourfront Enhancement and Revitalisation at the Western Wholesale Food Market",9700,3713,2472,3515
"63","Operating Account","700","General non-recurrent","834","Signature Project Scheme (Tsuen Wan District) - Non-works components relating to Redevelopment of Sai Lau Kok Garden",4800,1483,1351,1966
"63","Operating Account","700","General non-recurrent","835","Signature Project Scheme (Sha Tin District) - Non-works components relating to Decking of Tai Wai Nullah in Sha Tin",2378,387,453,1538
"63","Operating Account","700","General non-recurrent","836","Signature Project Scheme (Tuen Mun District) - Non-works components relating to Promotion of Youth Development in Tuen Mun",28300,130,460,27710
"63","Operating Account","700","General non-recurrent","837","Signature Project Scheme (Tuen Mun District) - Non-works components relating to Revitalisation of Tuen Mun River and Surrounding Areas",4500,539,1100,2861
"63","Operating Account","700","General non-recurrent","838","Signature Project Scheme (Tai Po District) - Non-works components relating to Establishment of Arts Centre by Retrofitting Tai Po Government Secondary School",1900,484,581,835
"63","Operating Account","700","General non-recurrent","840","Signature Project Scheme (Yuen Long District) - Non-works components relating to Construction of Yuen Long District Community Services Building",6000,1260,1680,3060
"63","Operating Account","700","General non-recurrent","841","Signature Project Scheme (Kwun Tong District) - Non-works components relating to Construction of Lift Tower at Shung Yan Street in Kwun Tong",5800,734,689,4377
"63","Operating Account","700","General non-recurrent","843","Signature Project Scheme (Yau Tsim Mong District) - Non-works components relating to Yau Tsim Mong Multicultural Activity Centre",9900,913,2400,6587
"63","Operating Account","700","General non-recurrent","844","Signature Project Scheme (Kowloon City District) - Non-works components relating to Revitalisation of the Rear Portion of the Cattle Depot",9900,2036,2791,5073
"63","Operating Account","700","General non-recurrent","845","Signature Project Scheme (Eastern District) - Non-works components relating to Eastern District Cultural Square",9300,2080,2788,4432
