"Head","Expenditure Component","Conventional Subhead","2016-17
(Actual)
($'000)","2017-18
(Original)
($'000)","2017-18
(Revised)
($'000)","2018-19
(Estimate)
($'000)"
"21","Personal Emoluments","Salaries",57782,58799,59555,61650
"21","Personal Emoluments","Allowances",2638,2488,3526,3657
"21","Personal Emoluments","Job-related allowances",7,8,15,17
"21","Personnel Related Expenses","Mandatory Provident Fund contribution",243,260,281,262
"21","Personnel Related Expenses","Civil Service Provident Fund contribution",2534,2801,2836,3013
"21","Departmental Expenses","Remuneration for special appointments",13120,16472,11618,10217
"21","Departmental Expenses","General departmental expenses",19887,21516,23606,21971
"21","Other Charges","Honoraria for non-official Members of the Executive Council",14287,15019,15860,16220
"22","Personal Emoluments","Salaries",687314,741090,722716,798508
"22","Personal Emoluments","Allowances",15890,15644,17450,17416
"22","Personal Emoluments","Job-related allowances",8097,9225,9730,9903
"22","Personnel Related Expenses","Mandatory Provident Fund contribution",3259,4381,3700,6570
"22","Personnel Related Expenses","Civil Service Provident Fund contribution",30173,37714,36000,42772
"22","Departmental Expenses","General departmental expenses",417163,505899,513918,604195
"22","Other Charges","Minor conservation projects and studies",6405,6270,6270,6270
"22","Subventions","Society for the Prevention of Cruelty to Animals (Hong Kong)",1000,1000,1000,1000
"22","Subventions","Network of Aquaculture Centres in Asia and the Pacific",78,80,80,80
"22","Subventions","Subventions for conservation and management of Ramsar site",759,759,759,759
"22","Subventions","Animal welfare organisations",513,500,500,500
"22","Subventions","Biodiversity Education",1028,1400,1400,1400
"23","Personal Emoluments","Salaries",32613,36073,34702,35029
"23","Personal Emoluments","Allowances",338,422,422,350
"23","Personal Emoluments","Job-related allowances",57,71,90,71
"23","Personnel Related Expenses","Mandatory Provident Fund contribution",230,257,254,246
"23","Personnel Related Expenses","Civil Service Provident Fund contribution",1154,1577,1431,1990
"23","Departmental Expenses","General departmental expenses",18118,15583,17079,18769
"23","Other Charges","Pay and allowances for the auxiliary services",35493,39850,39850,41986
"23","Other Charges","Training expenses for the auxiliary services",2553,2362,2362,2362
"24","Personal Emoluments","Salaries",151103,152149,153938,159177
"24","Personal Emoluments","Allowances",1466,626,235,513
"24","Personnel Related Expenses","Mandatory Provident Fund contribution",399,399,380,503
"24","Personnel Related Expenses","Civil Service Provident Fund contribution",4249,5439,5377,6270
"24","Departmental Expenses","Remuneration for special appointments",3719,7171,7232,3796
"24","Departmental Expenses","General departmental expenses",3421,3407,3407,3466
"25","Personal Emoluments","Salaries",1145746,1175515,1200317,1220574
"25","Personal Emoluments","Allowances",11966,12363,12310,13290
"25","Personal Emoluments","Job-related allowances",49,67,67,67
"25","Personnel Related Expenses","Mandatory Provident Fund contribution",3608,5844,4808,6859
"25","Personnel Related Expenses","Civil Service Provident Fund contribution",37530,45336,43119,54627
"25","Departmental Expenses","Light and power",4111,4835,4512,4731
"25","Departmental Expenses","Hire of services and professional fees",52678,54792,55465,69012
"25","Departmental Expenses","Workshop services",10840,12609,12058,13789
"25","Departmental Expenses","General departmental expenses",66704,71579,82379,95409
"25","Other Charges","Maintenance of government buildings",697936,657943,655463,699356
"26","Personal Emoluments","Salaries",540697,540647,538600,557820
"26","Personal Emoluments","Allowances",5082,5110,4530,4560
"26","Personal Emoluments","Job-related allowances",0,1,1,1
"26","Personnel Related Expenses","Mandatory Provident Fund contribution",1339,2215,1724,2195
"26","Personnel Related Expenses","Civil Service Provident Fund contribution",13303,16897,16378,19814
"26","Departmental Expenses","General departmental expenses",217214,100662,88914,87955
"26","Other Charges","Statistical Institute for Asia and the Pacific",233,235,235,235
"27","Personal Emoluments","Salaries",38784,41282,39550,41930
"27","Personal Emoluments","Allowances",566,454,1052,470
"27","Personal Emoluments","Job-related allowances",5,9,8,8
"27","Personnel Related Expenses","Mandatory Provident Fund contribution",160,222,241,310
"27","Personnel Related Expenses","Civil Service Provident Fund contribution",833,1380,1057,1355
"27","Departmental Expenses","General departmental expenses",25302,24041,26030,28598
"27","Other Charges","Pay and allowances for the auxiliary services",38003,40460,39863,42060
"27","Other Charges","Training expenses for the auxiliary services",1445,1620,1724,2168
"28","Personal Emoluments","Salaries",522494,570550,535900,616756
"28","Personal Emoluments","Allowances",5595,6420,7517,7603
"28","Personal Emoluments","Job-related allowances",710,1208,1266,1331
"28","Personnel Related Expenses","Mandatory Provident Fund contribution",1426,1170,1420,1942
"28","Personnel Related Expenses","Civil Service Provident Fund contribution",24700,28847,27661,32957
"28","Personnel Related Expenses","Disturbance allowance",0,0,0,2770
"28","Departmental Expenses","General departmental expenses",380690,367835,415646,403981
"30","Personal Emoluments","Salaries",2810827,2866367,2877536,2908565
"30","Personal Emoluments","Allowances",73120,70083,74134,74528
"30","Personal Emoluments","Job-related allowances",31757,38660,38660,38660
"30","Personnel Related Expenses","Mandatory Provident Fund contribution",12990,15775,14280,17107
"30","Personnel Related Expenses","Civil Service Provident Fund contribution",146705,178372,173502,198229
"30","Departmental Expenses","Specialist supplies and equipment",45260,38234,40575,39080
"30","Departmental Expenses","General departmental expenses",471825,453339,453670,502646
"30","Other Charges","Welfare for persons in custody",5690,5490,5490,6040
"30","Other Charges","Grant to the Correctional Services Department Welfare Fund",363,379,359,379
"31","Personal Emoluments","Salaries",2561557,2593397,2665709,2989930
"31","Personal Emoluments","Allowances",63164,61478,62649,68227
"31","Personal Emoluments","Job-related allowances",10893,11362,11451,12566
"31","Personnel Related Expenses","Rent allowance",517,786,617,735
"31","Personnel Related Expenses","Mandatory Provident Fund contribution",13850,14764,15394,25673
"31","Personnel Related Expenses","Civil Service Provident Fund contribution",115723,145304,142892,168104
"31","Personnel Related Expenses","Disturbance allowance",195,65,29,193
"31","Departmental Expenses","General departmental expenses",591302,670088,623429,920607
"31","Other Charges","Land usage cost",3682,5100,4699,5100
"31","Other Charges","Grant to the Customs and Excise Service Welfare Fund",290,295,291,298
"33","Personal Emoluments","Salaries",1164915,1251924,1223392,1341461
"33","Personal Emoluments","Allowances",16188,18161,19677,19515
"33","Personal Emoluments","Job-related allowances",874,931,966,929
"33","Personnel Related Expenses","Mandatory Provident Fund contribution",3475,4970,3681,5419
"33","Personnel Related Expenses","Civil Service Provident Fund contribution",44298,57452,53501,71174
"33","Departmental Expenses","Contract maintenance",1258970,1384960,1106546,1400126
"33","Departmental Expenses","General departmental expenses",141902,122094,183173,140410
"37","Personal Emoluments","Salaries",3238301,3403792,3383007,3622989
"37","Personal Emoluments","Allowances",26023,24681,25444,26791
"37","Personal Emoluments","Job-related allowances",2215,2291,2319,2348
"37","Personnel Related Expenses","Mandatory Provident Fund contribution",12355,10341,13178,11065
"37","Personnel Related Expenses","Civil Service Provident Fund contribution",132021,175180,144449,205200
"37","Departmental Expenses","Temporary staff",177095,189099,189236,271107
"37","Departmental Expenses","Specialist supplies and equipment",578742,709185,752561,872034
"37","Departmental Expenses","General departmental expenses",930600,944542,945770,1416825
"37","Other Charges","Contracting out of dental prostheses",8534,9000,7945,9000
"37","Other Charges","Payment and reimbursement of medical fees and hospital charges",576088,633400,692000,895200
"37","Other Charges","Supply, repair and renewal of prostheses and surgical appliances",5143,4620,5220,4620
