"Head","Account","Type","Sub-head (Code)","Sub-head","Reimbursements
$'000","Actual
expenditure
2016-17
$'000","Approved
estimate
2017-18
$'000","Revised
estimate
2017-18
$'000","Estimate
2018-19
$'000"
"21","Operating Account","Recurrent","000","Operational expenses",,110498,117363,117297,117007
"22","Operating Account","Recurrent","000","Operational expenses",,1171679,1323962,1313523,1489373
"22","Operating Account","Non-Recurrent","700","General non-recurrent",,18455,145022,36522,110835
"22","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,2804,13010,11828,998
"22","Capital Account","Plant, Equipment and Works","609","Minor irrigation works in the New Territories (block vote)",,3054,2827,2827,3133
"22","Capital Account","Plant, Equipment and Works","610","Minor recreational facilities and roadworks in country parks (block vote)",,13669,11187,9900,20953
"22","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,33471,18295,19551,23233
"22","Capital Account","Plant, Equipment and Works","","Works",,7043,7544,4280,0
"23","Operating Account","Recurrent","000","Operational expenses",,90556,96195,96190,100803
"23","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,5829,1740,1740,0
"24","Operating Account","Recurrent","000","Operational expenses",,164357,169191,170569,173725
"25","Operating Account","Recurrent","000","Operational expenses",,2031168,2040883,2070498,2177714
"25","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,1509,2100,2100,0
"26","Operating Account","Recurrent","000","Operational expenses",,777868,665767,650382,672580
"27","Operating Account","Recurrent","000","Operational expenses",,105098,109468,109525,116899
"27","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,1040,0,0,0
"28","Operating Account","Recurrent","000","Operational expenses",,935615,976030,989410,1067340
"28","Operating Account","Recurrent","170","Airport insurance",,4390,5200,3820,4400
"28","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,10000,13500,13500,16507
"30","Operating Account","Recurrent","000","Operational expenses",,3598537,3666699,3678206,3785234
"30","Operating Account","Recurrent","118","Provisions for institutions",,78000,78890,78890,78890
"30","Operating Account","Recurrent","193","Earnings scheme for persons in custody",,41042,39220,39220,39220
"30","Operating Account","Non-Recurrent","700","General non-recurrent",,889,0,350,400
"30","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,7463,8693,5886,15152
"30","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,49836,45551,50663,50256
"31","Operating Account","Recurrent","000","Operational expenses",,3361173,3502639,3527160,4191433
"31","Operating Account","Recurrent","103","Rewards and special services",,11123,11000,11500,11500
"31","Operating Account","Recurrent","292","Seizure management",,50714,51500,50500,49000
"31","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,52059,46707,12590,107769
"31","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,22928,41063,35842,66609
"33","Operating Account","Recurrent","000","Operational expenses",,2630622,2840492,2590936,2979034
"33","Operating Account","Non-Recurrent","700","General non-recurrent",,43,150,25,100
"33","Capital Account","Plant, Equipment and Works","","Minor plant, vehicles and equipment (block vote)",,5997,4837,4837,0
"37","Operating Account","Recurrent","000","Operational expenses",,7162817,8669365,8467296,10941441
"37","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",738000,,,,
"37","Operating Account","Recurrent","","Deduct reimbursement",-738000,,,,
"37","Operating Account","Non-Recurrent","700","General non-recurrent",,49,477,275,20
"37","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,14426,22788,12115,16853
"37","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,124710,83914,65223,113121
"37","Capital Account","Subventions","974","Subvented institutions - maintenance, repairs, and minor improvements (block vote)",,1946,1674,977,5669
"37","Capital Account","Subventions","975","Subvented institutions - minor plant, vehicles and equipment (block vote)",,865,2540,2439,3595
"39","Operating Account","Recurrent","000","Operational expenses",,2564113,2600249,2618092,2736823
"39","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,6493,2385,3430,100
"39","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,23544,34020,34020,84953
"42","Operating Account","Recurrent","000","Operational expenses",,439228,483267,473536,555583
"42","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,37804,34899,34899,35171
"42","Capital Account","Plant, Equipment and Works","696","Energy saving projects in government buildings (block vote)",,0,150000,150000,325017
"44","Operating Account","Recurrent","000","Operational expenses",,1572298,1801588,1698292,2146833
"44","Operating Account","Recurrent","297","Fees for operation of waste facilities",,1724678,2157961,1937395,2380756
"44","Operating Account","Non-Recurrent","700","General non-recurrent",,1650751,2161770,1623553,1611525
"44","Capital Account","Plant, Equipment and Works","605","Minor capital works (block vote)",,0,1667,1573,1748
"44","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,9000,10756,6274,26336
"45","Operating Account","Recurrent","000","Operational expenses",,5403213,5585480,5674880,6014335
"45","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,44061,104672,92566,67679
