"Head (Code)","HEAD OF EXPENDITURE","Actual
expenditure
2016-17
$・000","Approved
estimate
2017-18
$・000","Revised
estimate
2017-18
$・000","Estimate
2018-19
$・000"
"21","Chief Executive・s Office",110498,117363,117297,117007
"22","Agriculture, Fisheries and Conservation Department",1250175,1521847,1398431,1648525
"25","Architectural Services Department",2032677,2042983,2072598,2177714
"24","Audit Commission",164357,169191,170569,173725
"23","Auxiliary Medical Service",96385,97935,97930,100803
"82","Buildings Department",1359915,1382930,1399333,1570642
"26","Census and Statistics Department",777868,665767,650382,672580
"27","Civil Aid Service",106138,109468,109525,116899
"28","Civil Aviation Department",950005,994730,1006730,1088247
"33","Civil Engineering and Development Department",2636662,2845479,2595798,2979134
"30","Correctional Services Department",3775767,3839053,3853215,3969152
"31","Customs and Excise Department",3497997,3652909,3637592,4426311
"37","Department of Health",7304813,8780758,8548325,11080699
"92","Department of Justice",1531123,1971926,1620436,2290902
"39","Drainage Services Department",2594150,2636654,2655542,2821876
"42","Electrical and Mechanical Services Department",477032,668166,658435,915771
"44","Environmental Protection Department",4956727,6133742,5267087,6167198
"45","Fire Services Department",5563723,6049824,5904992,6676723
"49","Food and Environmental Hygiene Department",6511923,6776198,6808125,7589878
"46","General Expenses of the Civil Service",3261294,3826740,3484825,3825939
"166","Government Flying Service",536119,776275,767622,622890
"48","Government Laboratory",473487,463918,470816,489331
"59","Government Logistics Department",602465,619790,619406,574635
"51","Government Property Agency",1936934,1942714,1942549,2041673
"143","Government Secretariat: Civil Service Bureau",569040,600626,596512,652846
"152","Government Secretariat: Commerce and Economic Development Bureau (Commerce, Industry and Tourism Branch)",1884689,2515634,2038383,2633651
"55","Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch)",367022,409369,372631,526430
"144","Government Secretariat: Constitutional and Mainland Affairs Bureau",608814,698066,696743,676072
"138","Government Secretariat: Development Bureau (Planning and Lands Branch)",307301,392650,391118,689936
"159","Government Secretariat: Development Bureau (Works Branch)",408782,505678,470857,583330
"156","Government Secretariat: Education Bureau",54815376,57393829,60041313,63702930
"137","Government Secretariat: Environment Bureau",77626,80845,80670,91794
"148","Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch)",764942,343588,281842,770232
"147","Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch)",342091,318842,310827,304311
"139","Government Secretariat: Food and Health Bureau (Food Branch)",131095,162081,154474,165583
"140","Government Secretariat: Food and Health Bureau (Health Branch)",54049368,55990015,57066771,63342179
"53","Government Secretariat: Home Affairs Bureau",1808372,2025752,2001350,2057808
"135","Government Secretariat: Innovation and Technology Bureau",38837,178215,55247,590202
"155","Government Secretariat: Innovation and Technology Commission",590739,621176,626135,691955
"141","Government Secretariat: Labour and Welfare Bureau",782636,840546,828899,849047
"47","Government Secretariat: Office of the Government Chief Information Officer",735443,765961,767991,777508
"142","Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary",911989,993951,950396,885635
"96","Government Secretariat: Overseas Economic and Trade Offices",337878,431946,396206,425335
"151","Government Secretariat: Security Bureau",371884,606630,452043,773518
"158","Government Secretariat: Transport and Housing Bureau (Transport Branch)",231057,280433,280100,293494
"60","Highways Department",2810029,3148719,2925423,3862156
"63","Home Affairs Department",2425682,2607074,2609657,2902836
"168","Hong Kong Observatory",298044,303083,303083,338539
"122","Hong Kong Police Force",17855006,18495744,18680131,19662158
"62","Housing Department",287593,304587,312702,322650
"70","Immigration Department",4275049,4558514,4450673,5683240
"72","Independent Commission Against Corruption",1044691,1074206,1095052,1120424
"121","Independent Police Complaints Council",64215,73393,74673,76841
"74","Information Services Department",466367,505545,512211,499386
"76","Inland Revenue Department",1503710,1566548,1554249,1633897
"78","Intellectual Property Department",145793,156394,157684,167172
"79","Invest Hong Kong",125539,130697,135017,139008
"174","Joint Secretariat for the Advisory Bodies on Civil Service and Judicial Salaries and Conditions of Service",30410,33107,32823,33757
"80","Judiciary",1521355,1762725,1700190,1901759
"90","Labour Department",1851634,1953176,1920355,2148376
"91","Lands Department",2402600,2452963,2502413,2750380
"94","Legal Aid Department",1023633,996812,999258,1116769
"112","Legislative Council Commission",874052,841862,860528,890077
"95","Leisure and Cultural Services Department",8431164,8599298,8634705,9091340
"100","Marine Department",1307032,1362139,1371036,1540054
"106","Miscellaneous Services",115825,3912906,564906,16921008
"180","Office for Film, Newspaper and Article Administration",46222,48345,48548,50316
"114","Office of The Ombudsman",115095,114068,116644,117139
"116","Official Receiver・s Office",188998,180311,182794,343556
"120","Pensions",31948165,35385040,34867740,37934730
"118","Planning Department",662442,686700,694925,731245
"136","Public Service Commission Secretariat",24871,30350,29648,27074
"160","Radio Television Hong Kong",985439,995202,1011102,1012461
"162","Rating and Valuation Department",512928,525906,531949,555395
"163","Registration and Electoral Office",920958,554159,342372,711357
"169","Secretariat, Commissioner on Interception of Communications and Surveillance",19146,21202,20373,24573
"170","Social Welfare Department",64434066,72151170,66655174,84204368
"181","Trade and Industry Department",728440,802446,764524,775251
"186","Transport Department",2652148,3097346,2965377,4485915
"188","Treasury",382883,391910,397654,406795
"190","University Grants Committee",18610482,18661695,19002755,22207113
"194","Water Supplies Department",8001067,8282094,8317585,8403976
"173","Working Family and Student Financial Assistance Agency",5517793,8197941,5330812,19223849
"184","Transfers to Funds",23864000,8850000,4350000,2590000
