Sub-head (Code),Sub-head,Item (Code),Item,"Actual revenue 2016¡V17
$¡¦000","Original estimate 2017¡V18
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
022,"Agriculture, Fisheries and Conservation Department",010,Markets,90131,89375,89341,94022
022,"Agriculture, Fisheries and Conservation Department",020,Agricultural services and products,276,316,309,300
022,"Agriculture, Fisheries and Conservation Department",030,Others,37433,37413,46522,50622
024,Audit Commission,,,12274,12274,11474,11474
025,Architectural Services Department,025,Services to trading funds and subvented projects,380,395,988,988
025,Architectural Services Department,030,Others,420,455,384,384
026,Census and Statistics Department,,,9090,7164,6242,1099
027,Civil Aid Service,,,31,37,30,72
028,Civil Aviation Department,010,Services to the Airport Authority,807867,840210,763210,801260
028,Civil Aviation Department,020,Aircraft en route navigation charges,308082,346087,351176,400083
028,Civil Aviation Department,030,Licences,80097,75956,82878,90277
028,Civil Aviation Department,040,Others,904,919,928,855
030,Correctional Services Department,010,Recovery other than cost of raw materials for correctional services industries,189,447,163,163
030,Correctional Services Department,015,Laundry charges,3242,3244,3280,3280
030,Correctional Services Department,020,Others,191,195,163,163
031,Customs and Excise Department,010,Import and export declarations,893383,851400,954903,725742
031,Customs and Excise Department,020,Bonded warehouse supervision  charges,480,487,493,493
031,Customs and Excise Department,030,Clothing industry training levy service charges,56,56,51,49
031,Customs and Excise Department,040,Denaturing fees,297,291,266,266
031,Customs and Excise Department,071,Import and export licences,2547,2136,2789,2789
031,Customs and Excise Department,072,Warehouse licences,852,828,852,852
031,Customs and Excise Department,080,Miscellaneous licences,1761,1745,1774,1773
031,Customs and Excise Department,090,Storage fees,1,1,1,1
031,Customs and Excise Department,100,Others,41374,16541,31857,18328
032,Companies Registry,010,Licence and other fees,17406,22817,19172,21857
033,Civil Engineering and Development Department,010,Works executed on private account,9008,484,6694,317
033,Civil Engineering and Development Department,011,"Dangerous goods, mining and prospecting licences",1864,1945,2042,2104
033,Civil Engineering and Development Department,012,Explosives permit and storage fees,13316,24110,13672,13710
033,Civil Engineering and Development Department,013,Mud disposal,12178,6465,8799,6220
033,Civil Engineering and Development Department,014,Disposal of construction waste at public fill reception facilities,405799,1108000,942000,962000
033,Civil Engineering and Development Department,030,Others,382,286,296,279
037,Department of Health,010,"Dangerous drugs, pharmacy, poisons and other licences",24149,24818,24169,24941
037,Department of Health,030,Out-patient charges,36071,37534,40339,40980
037,Department of Health,040,Dental charges,8561,8598,8645,8721
037,Department of Health,050,"Medical and health charges other than hospital, out-patient and dental charges",28831,28257,30487,30972
037,Department of Health,060,Registrations and certificates of medical and supplementary medical professionals,35536,35906,36680,39962
037,Department of Health,070,Others,675,549,1157,995
039,Drainage Services Department,010,Works executed on private account,0,8,8,8
039,Drainage Services Department,030,Others,1349,1175,1320,1320
042,Electrical and Mechanical Services Department,025,Services to Electrical and Mechanical Services Trading Fund,44513,44120,41713,43173
042,Electrical and Mechanical Services Department,027,"Registration, certification and permit fees",57368,52908,51897,49270
042,Electrical and Mechanical Services Department,030,Others,10,14,14,14
044,Environmental Protection Department,010,Chemical waste charging scheme,30337,28000,35000,35000
044,Environmental Protection Department,015,MARPOL waste charging scheme,5928,5200,6900,6900
044,Environmental Protection Department,017,Waste disposal charges,165863,236300,211200,219420
044,Environmental Protection Department,020,Licence and permit fees,18061,18918,18776,18829
044,Environmental Protection Department,025,Producer Responsibility Scheme,0,0,0,123741
044,Environmental Protection Department,030,Others,954,686,1211,1229
045,Fire Services Department,010,Dangerous goods licences,12833,12544,12552,12552
045,Fire Services Department,012,Official certificates and fire reports,9088,8982,9578,9578
045,Fire Services Department,020,Others,1433,1573,1992,1992
047,Government Secretariat: Office of the Government Chief Information Officer,,,7849,7866,9139,9722
048,Government Laboratory,015,Services to the Hospital Authority,1669,1976,1976,1701
