Head (Code),Head,Sub-head (Code),Sub-head,"Item (Code)
","Ambit
","Approved commitment
$¡¦000","Accumulated expenditure to 31.3.2017
$¡¦000","Revised estimated expenditure for 2017¡V18
$¡¦000","Balance
$¡¦000"
341,Non-recurrent Grants,014,Lok Chi Association Limited,002,Renovating Lok Chi Youth Centre in Tsuen Wan,2012,0,53,1959
341,Non-recurrent Grants,017,Against Child Abuse Limited,002,Fitting out for a child protection service centre in North Point,1478,1246,0,232
341,Non-recurrent Grants,025,Alice Ho Miu Ling Nethersole Charity Foundation,004,Renovating Alice Ho Miu Ling Nethersole Nursing Home in Kowloon Bay,2207,1438,0,769
341,Non-recurrent Grants,035,Architectural Services Department,045,Constructing and fitting out for a social centre for the elderly in the Kowloon Canton Railway Corporation Site at Mong Kok Station,1458,0,0,1458
341,Non-recurrent Grants,035,Architectural Services Department,348,"Constructing a care and attention home for the elderly in the private development of Hongkong and Yaumati Ferry Company, Limited at Tai Kok Tsui",23121,10928,0,12193
341,Non-recurrent Grants,035,Architectural Services Department,358,"Constructing a residential care home for the elderly at Hoi Fai Road, West Kowloon Reclamation Area",41858,17336,0,24522
341,Non-recurrent Grants,035,Architectural Services Department,390,"Constructing a residential care home for the elderly cum community support service centre at Lee Tung Street and McGregor Street, Wanchai under Urban Renewal Authority Development Scheme",36630,27981,0,8649
341,Non-recurrent Grants,035,Architectural Services Department,392,"Constructing a 100-place residential care home for the elderly cum a 20-place day care unit, a neighbourhood elderly centre and an integrated children and a youth services centre in Tai Wai Depot Site of the Ma On Shan Railway under Kowloon Canton Railway Corporation Development Scheme",35702,30831,0,4871
341,Non-recurrent Grants,035,Architectural Services Department,395,Cost of pre-contract preparatory works for development of a multi-welfare services complex in Kwu Tung North New Development Area,15000,0,8000,7000
341,Non-recurrent Grants,037,Asbury Methodist Social Service,002,Fitting out for the reprovisioning of school social work office cum setting up a sub-base of integrated children and youth services centre to a set of new premises in Kwai Chung,2080,0,0,2080
341,Non-recurrent Grants,068,Baptist Oi Kwan Social Service,018,Renovating Baptist Oi Kwan Social Service Resource and Service Centre for the relatives of ex-mentally ill people in Choi Fai Estate,981,0,0,981
341,Non-recurrent Grants,068,Baptist Oi Kwan Social Service,021,Fitting out for an integrated community centre for mental wellness in Kwai Tsing,4042,0,3459,583
341,Non-recurrent Grants,068,Baptist Oi Kwan Social Service,022,Renovating for in-situ expansion of Lok Kwan Halfway House in Wan Chai,11158,0,0,11158
341,Non-recurrent Grants,068,Baptist Oi Kwan Social Service,023,Meeting the cost of repair works for headquarters building,3867,0,0,3867
341,Non-recurrent Grants,069,Barnabas Charitable Service Association Limited,002,"Renovating, furnishing and equipping for Ma On Shan Halfway House",6918,6366,0,552
341,Non-recurrent Grants,072,Benji¡¦s Centre,002,Furnishing and equipping for the provision of new training places under the training subsidy programme for Benji's Centre,602,0,0,602
341,Non-recurrent Grants,078,The Boys¡¦ and Girls¡¦ Clubs Association of Hong Kong,057,Fitting out for reprovisioning Jockey Club Tai Wai Children and Youth Integrated Services Centre in Sha Tin,8303,7618,457,228
341,Non-recurrent Grants,078,The Boys¡¦ and Girls¡¦ Clubs Association of Hong Kong,058,Fitting out for reprovisioning the sub-base of Jockey Club Sau Mau Ping Children and Youth Integrated Services Centre in Kwun Tong,1832,1700,0,132
341,Non-recurrent Grants,118,Care & Services Company Limited,001,Fitting out for a 100-place residential care home for the elderly in Sha Tin,19048,0,0,19048
341,Non-recurrent Grants,118,Care & Services Company Limited,002,Furnishing and equipping for a 100-place residential care home for the elderly in Sha Tin,3596,0,0,3596
341,Non-recurrent Grants,120,Caritas¡XHong Kong,143,"Fitting out for Caritas Dr. & Mrs. Olinto de Sousa Integrated Family Service Centre at Herring Gull House, Sha Kok Estate, Sha Tin",662,620,0,42
341,Non-recurrent Grants,120,Caritas¡XHong Kong,167,Fitting out for Caritas Integrated Family Service Centre in Aberdeen,1423,1144,0,279
341,Non-recurrent Grants,120,Caritas¡XHong Kong,195,Undertaking fire safety/building safety rectification measures for Caritas Lai Hong Home,2710,9,2343,358
341,Non-recurrent Grants,120,Caritas¡XHong Kong,199,Fitting out for Caritas Personal Growth Centre for Men in Wong Tai Sin,1185,1005,0,180
341,Non-recurrent Grants,120,Caritas¡XHong Kong,201,Fitting out for reprovisioning Caritas Integrated Family Service Centre¡XTung Tau (Wong Tai Sin South West),7082,6282,0,800
341,Non-recurrent Grants,120,Caritas¡XHong Kong,202,Fitting out for reprovisioning Caritas Sha Tin Elderly Centre in Sha Tin,574,492,0,82
341,Non-recurrent Grants,120,Caritas¡XHong Kong,213,Renovating Caritas Lok Heep Club¡XHong Kong Centre in Wan Chai,2255,0,0,2255
341,Non-recurrent Grants,120,Caritas¡XHong Kong,216,Carrying out windows repair works for Caritas Li Ka Shing Care and Attention Home in Tuen Mun,728,0,631,97
341,Non-recurrent Grants,120,Caritas¡XHong Kong,217,Fitting out for reprovisioning Caritas Integrated Family Service Centre to Fanling South Government Complex,9768,3535,0,6233
341,Non-recurrent Grants,120,Caritas¡XHong Kong,218,"Fitting out, furnishing and equipping for a day activity centre cum hostel for severely mentally handicapped persons and supported hostel for mentally handicapped persons in Sham Shui Po",22948,18780,2234,1934
341,Non-recurrent Grants,120,Caritas¡XHong Kong,221,Renovating Caritas Lions Club of Hong Kong (Pacific) Nursery School in Chai Wan,998,0,0,998
341,Non-recurrent Grants,120,Caritas¡XHong Kong,222,Replacing a 24-seater diesel public bus with a 13-seater liquefied petroleum gas private light bus for Caritas Lok Kan School,949,0,47,902
341,Non-recurrent Grants,120,Caritas¡XHong Kong,224,Renovating Caritas Evergreen Home in Sai Ying Pun,11082,0,30,11052
341,Non-recurrent Grants,120,Caritas¡XHong Kong,225,Renovating Caritas Integrated Home Care Service¡XLung Hang,2520,0,0,2520
341,Non-recurrent Grants,120,Caritas¡XHong Kong,228,Replacing a vehicle for Caritas Integrated Home Care Service¡XShatin,1105,0,0,1105
341,Non-recurrent Grants,120,Caritas¡XHong Kong,229,Purchasing two vehicles for a new residential care home for the elderly cum day care unit for the elderly at the redevelopment site of Caritas Social Centre¡XTsuen Wan,1875,0,0,1875
341,Non-recurrent Grants,120,Caritas¡XHong Kong,230,Purchasing three centre buses for three day activity centres cum hostels for severely mentally handicapped persons,3014,0,0,3014
341,Non-recurrent Grants,120,Caritas¡XHong Kong,231,Renovating Caritas Lok Mo Integrated Vocational Training Centre in Kowloon City,9851,0,0,9851
341,Non-recurrent Grants,120,Caritas¡XHong Kong,232,Furnishing and equipping for subvented places of a new residential care home for the elderly cum day care unit in the redevelopment project of Caritas Social Centre¡XTsuen Wan under Special Scheme on Privately Owned Sites for Welfare Uses,4279,0,0,4279
341,Non-recurrent Grants,120,Caritas¡XHong Kong,233,Furnishing and equipping for self-financing places of a residential care home for the elderly cum day care unit in the redevelopment project of Caritas Social Centre¡XTsuen Wan under Special Scheme on Privately Owned Sites for Welfare Uses,1635,0,0,1635
341,Non-recurrent Grants,120,Caritas¡XHong Kong,234,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Lok Shing Hostel,801,0,0,801
341,Non-recurrent Grants,120,Caritas¡XHong Kong,235,Furnishing and equipping for a new girls' home in Kwun Tong,3172,0,0,3172
341,Non-recurrent Grants,120,Caritas¡XHong Kong,236,Furnishing and equipping for reprovisioning of Caritas Community Centre¡XTsuen Wan,724,0,0,724
341,Non-recurrent Grants,120,Caritas¡XHong Kong,237,Replacing a vehicle for Caritas Lok Jun School,742,0,0,742
341,Non-recurrent Grants,120,Caritas¡XHong Kong,238,Renovating Caritas Fu Tung Home in Tung Chung,6843,0,135,6708
341,Non-recurrent Grants,120,Caritas¡XHong Kong,239,Meeting the cost of slope upgrading works for Caritas Pelletier Hall in Choi Wan,7050,0,0,7050
341,Non-recurrent Grants,120,Caritas¡XHong Kong,240,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Caritas- Hong Kong Lok Wah Hostel,451,0,0,451
341,Non-recurrent Grants,135,Chi Lin Nunnery,011,Replacing laundry equipment for Chi Lin Care and Attention Home in Diamond Hill,421,0,0,421
341,Non-recurrent Grants,135,Chi Lin Nunnery,012,Replacing two lifts for Chi Lin Care and Attention Home in Diamond Hill,2999,0,0,2999
341,Non-recurrent Grants,138,The Chinese Rhenish Church Hong Kong Synod,021,"Renovating, furnishing and equipping for Sze Tian Rhenish Home for the Elderly in Kwai Chung",7157,5547,0,1610
341,Non-recurrent Grants,138,The Chinese Rhenish Church Hong Kong Synod,022,"Renovating, furnishing and equipping for Wong Siu Ching Rhenish Home for the Elderly in Sha Tin",10729,10089,0,640
341,Non-recurrent Grants,138,The Chinese Rhenish Church Hong Kong Synod,031,Fitting out for the reprovisioning of Shatin Rhenish Neighbourhood Elderly Centre in Sha Tin,4518,0,0,4518
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,057,Renovating Home of Love Sheltered Workshop in Sheung Wan,2480,0,104,2376
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,058,Renovating Y¡¦s Men¡¦s Centre for the Deaf in Sau Mau Ping,2524,2263,0,261
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,059,Renovating Home of Love¡XWah Fu Hostel in Aberdeen,2626,1536,697,393
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,062,Renovating Home of Love Hostel in Sheung Wan,6136,0,257,5879
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,064,Renovating Home of Love¡XYung Shing Hostel in Fanling,2794,0,0,2794
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,065,"Renovating, furnishing and equipping for converting home for the aged places into long term care places for Tin Ping Care and Attention Home for the Elderly in Sheung Shui",18471,0,0,18471
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,066,Replacing a vehicle for Chai Wan Young Night Drifters Service,437,0,0,437
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,067,Replacing a vehicle for Tsuen Wan Young Night Drifters Service,437,0,0,437
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,068,Replacing a vehicle for Home of Love¡X Yung Shing Sheltered Workshop,1012,0,0,1012
341,Non-recurrent Grants,144,Ching Chung Taoist Association of Hong Kong Limited,016,Meeting the cost of replacement of lift for Ching Chung Care and Attention Home for the Aged in Yuen Long,1022,0,0,1022
341,Non-recurrent Grants,150,Christian Family Service Centre,051,"Fitting out for a day care centre for the elderly at Tsui Lam Estate, Tseung Kwan O",3727,3406,0,321
341,Non-recurrent Grants,150,Christian Family Service Centre,063,Renovating Shing Mong Supported Hostel in Tseung Kwan O,2616,2385,0,231
341,Non-recurrent Grants,150,Christian Family Service Centre,064,Renovating Shing Shun Small Group Home in Tseung Kwan O,1600,1309,0,291
341,Non-recurrent Grants,150,Christian Family Service Centre,065,Renovating On Yee Hostel and On Yue Hostel in Chai Wan,3392,73,1473,1846
341,Non-recurrent Grants,150,Christian Family Service Centre,068,Fitting out for reprovisioning community rehabilitation day centre in Kwun Tong,4762,3574,0,1188
