Head (Code),Head,Sub-head (Code),Sub-head,"Actual expenditure 2016¡V17
$¡¦000","Approved estimate 2017¡V18
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
341,Non-recurrent Grants,014,Lok Chi Association Limited,0,0,53,1200
341,Non-recurrent Grants,017,Against Child Abuse Limited,0,90,0,132
341,Non-recurrent Grants,025,Alice Ho Miu Ling Nethersole Charity Foundation,3241,34,0,47
341,Non-recurrent Grants,035,Architectural Services Department,57894,8138,10919,16085
341,Non-recurrent Grants,037,Asbury Methodist Social Service,0,0,0,832
341,Non-recurrent Grants,068,Baptist Oi Kwan Social Service,296,8217,3459,3801
341,Non-recurrent Grants,069,Barnabas Charitable Service Association Limited,4744,540,0,497
341,Non-recurrent Grants,072,Benji's Centre,0,102,431,241
341,Non-recurrent Grants,078,The Boys¡¦ and Girls¡¦ Clubs Association of Hong Kong,2117,621,973,360
341,Non-recurrent Grants,118,Care & Services Company Limited,0,0,0,7926
341,Non-recurrent Grants,120,Caritas¡XHong Kong,26511,19827,7573,27067
341,Non-recurrent Grants,135,Chi Lin Nunnery,2486,252,0,660
341,Non-recurrent Grants,138,The Chinese Rhenish Church Hong Kong Synod,495,4595,0,1693
341,Non-recurrent Grants,140,Chinese Young Men¡¦s Christian Association of Hong Kong,2380,2552,2209,8155
341,Non-recurrent Grants,144,Ching Chung Taoist Association of Hong Kong Limited,0,0,0,613
341,Non-recurrent Grants,150,Christian Family Service Centre,-24902,6226,3184,14693
341,Non-recurrent Grants,158,Chuk Lam Ming Tong Limited,699,171,0,31
341,Non-recurrent Grants,162,Chung Sing Benevolent Society,0,7961,86,7038
341,Non-recurrent Grants,166,Chung Shak Hei (Cheung Chau) Home for the Aged Limited,1923,106,0,40
341,Non-recurrent Grants,170,Church of Christ in China,0,328,0,819
341,Non-recurrent Grants,172,The Mother Superior of the Congregation of Our Lady of Charity of the Good Shepherd of Angers at Hong Kong,63,116,184,26
341,Non-recurrent Grants,213,E.T. Investment Limited,662,12088,33346,4500
341,Non-recurrent Grants,218,"ELCHK, Social Service Head Office",18833,7858,3044,3602
341,Non-recurrent Grants,221,University of Hong Kong,608,1607,286,10088
341,Non-recurrent Grants,222,Evangelical Gospel Lutheran Church Limited,0,683,0,1139
341,Non-recurrent Grants,223,Ever Kind Asia Limited,0,0,0,654
341,Non-recurrent Grants,248,Glorious Praise Fellowship (Hong Kong) Limited,0,1800,0,4631
