head,name
21,行政長官辦公室
22,漁農自然護理署
25,建築署
24,審計署
23,醫療輔助隊
82,屋宇署
26,政府統計處
27,民眾安全服務處
28,民航處
33,土木工程拓展署
30,懲教署
31,香港海關
37,衞生署
92,律政司
39,渠務署
42,機電工程署
44,環境保護署
45,消防處
49,食物環境衞生署
46,公務員一般開支
166,政府飛行服務隊
48,政府化驗所
59,政府物流服務署
51,政府產業署
143,政府總部：公務員事務局
152,政府總部：商務及經濟發展局(工商及旅遊科)
55,政府總部：商務及經濟發展局(通訊及創意產業科)
144,政府總部：政制及內地事務局
138,政府總部：發展局(規劃地政科)
159,政府總部：發展局(工務科)
156,政府總部：教育局
137,政府總部：環境局
148,政府總部：財經事務及庫務局(財經事務科)
147,政府總部：財經事務及庫務局(庫務科)
139,政府總部：食物及衞生局(食物科)
140,政府總部：食物及衞生局(衞生科)
53,政府總部：民政事務局
135,政府總部：創新及科技局
155,政府總部：創新科技署
141,政府總部：勞工及福利局
47,政府總部：政府資訊科技總監辦公室
142,政府總部：政務司司長辦公室及財政司司長辦公室
96,政府總部：海外經濟貿易辦事處
151,政府總部：保安局
158,政府總部：運輸及房屋局(運輸科)
60,路政署
63,民政事務總署
168,香港天文台
122,香港警務處
62,房屋署
70,入境事務處
72,廉政公署
121,獨立監察警方處理投訴委員會
74,政府新聞處
76,稅務局
78,知識產權署
79,投資推廣署
174,公務及司法人員薪俸及服務條件諮詢委員會聯合秘書處
80,司法機構
90,勞工處
91,地政總署
94,法律援助署
112,立法會行政管理委員會
95,康樂及文化事務署
100,海事處
106,雜項服務
180,電影、報刊及物品管理辦事處
114,申訴專員公署
116,破產管理署
120,退休金
118,規劃署
136,公務員敍用委員會秘書處
160,香港電台
162,差餉物業估價署
163,選舉事務處
169,截取通訊及監察事務專員秘書處
170,社會福利署
181,工業貿易署
186,運輸署
188,庫務署
190,大學教育資助委員會
194,水務署
173,在職家庭及學生資助事務處
184,轉撥各基金的款項
1,應課稅品稅項
2,一般差餉
3,內部稅收
4,車輛稅
5,罰款、沒收及罰金
6,專利稅及特權稅
7,物業及投資
9,貸款、償款、供款及其他收入
10,公用事業
11,各項收費
701,土地徵用
702,港口及機場發展
703,建築物
704,渠務
705,土木工程
706,公路
707,新市鎮及市區發展
708,非經常資助金及主要系統設備
709,水務
710,電腦化計劃
711,房屋
