"Head","Programme No.","Programme Name","Sector","2013-14
(Actual)
($m)","2014-15
(Original)
($m)","2014-15
(Revised)
($m)","2015-16
(Estimate)
($m)"
"21",1,"Chief Executive's Office","",74.0,78.3,80.3,80.2
"21",2,"Executive Council","",20.5,20.8,21.0,21.3
"22",1,"Agriculture, Fisheries and Fresh Food Wholesale Markets","",313.0,519.0,304.2,320.8
"22",2,"Nature Conservation and Country Parks","",546.7,583.0,591.7,608.9
"22",3,"Animal, Plant and Fisheries Regulation and Technical Services","",290.2,293.8,298.4,303.8
"23",1,"Auxiliary Medical Service","",74.3,80.6,80.6,87.3
"24",1,"Regularity Audit","",44.8,46.9,47.0,49.3
"24",2,"Value for Money Audit","",93.5,97.5,102.2,103.3
"25",1,"Monitoring and Advisory Services","",241.5,248.4,258.8,263.2
"25",2,"Facilities Upkeep","",915.9,938.6,948.0,978.5
"25",3,"Facilities Development","",603.1,619.7,636.3,650.6
"26",1,"Trade Statistics","",150.7,161.4,158.5,169.1
"26",2,"Social Statistics","",78.5,109.2,99.9,143.5
"26",3,"National Accounts and Balance of Payments Statistics","",78.3,80.3,78.8,84.8
"26",4,"General Statistical Services","",30.8,32.3,30.2,32.5
"26",5,"Price/Industry/Service Statistics","",139.5,150.2,144.1,159.3
"26",6,"Labour Statistics","",79.2,81.7,79.8,86.1
"27",1,"Civil Aid Service","",96.2,95.7,97.0,99.5
"28",1,"Flight Standards","",97.8,102.5,103.1,106.4
"28",2,"Airport Standards","",43.5,45.1,46.7,52.4
"28",3,"Air Traffic Management","",367.5,382.0,387.6,402.0
"28",4,"Air Traffic Engineering Services","",313.5,286.2,298.8,300.0
"28",5,"Air Services and Safety Management","",31.0,44.5,43.3,40.7
"28",6,"Air Passenger Departure Tax Administration","",2.3,1.8,1.8,1.9
"30",1,"Prison Management","",2355.2,2460.1,2515.5,2556.6
"30",2,"Re-integration","",923.6,906.8,935.9,963.1
"31",1,"Control and Enforcement","",2162.6,2227.9,2300.0,2442.2
"31",2,"Anti-narcotics Investigation","",186.8,183.6,190.7,195.1
"31",3,"Intellectual Property Rights and Consumer Protection","",290.5,314.9,321.0,324.5
"31",4,"Revenue Protection and Collection","",169.6,169.5,176.0,178.2
"31",5,"Trade Controls","",151.4,160.7,176.0,176.9
"33",1,"Tourism and Recreational Development","",42.7,43.2,44.9,45.4
"33",2,"Port and Marine Facilities","",201.8,204.4,208.5,218.2
"33",3,"Provision of Land and Infrastructure","",358.9,425.1,436.5,463.0
"33",4,"Slope Safety and Geotechnical Standards","",325.0,334.9,344.4,348.2
"33",5,"Greening and Technical Services","",120.0,124.4,129.1,126.7
"33",6,"Supervision of Mining, Quarrying and Explosives","",70.8,71.0,73.6,76.3
"33",7,"Management of Construction and Demolition Materials","",694.9,885.1,886.8,946.0
"33",8,"Advice on Development Proposals","",31.8,32.3,33.6,34.1
"37",1,"Statutory Functions","",628.6,654.5,670.4,719.3
"37",2,"Disease Prevention","Government sector",2581.8,2834.4,2696.0,2911.5
"37",2,"Disease Prevention","Subvented sector",48.6,73.3,71.0,99.1
"37",3,"Health Promotion","Government sector",250.2,272.6,279.5,295.9
"37",3,"Health Promotion","Subvented sector",86.9,89.5,97.5,95.5
"37",4,"Curative Care","Government sector",806.5,817.3,837.6,839.6
"37",4,"Curative Care","Subvented sector",3.1,3.2,3.2,3.3
"37",5,"Rehabilitation","",98.2,102.1,102.9,110.2
"37",6,"Treatment of Drug Abusers","Government sector",52.6,42.6,42.0,41.4
"37",6,"Treatment of Drug Abusers","Subvented sector",105.4,106.8,110.4,113.6
"37",7,"Medical and Dental Treatment for Civil Servants","",936.0,1088.7,1087.7,1232.4
"37",8,"Personnel Management of Civil Servants Working in Hospital Authority","",8.2,8.2,8.3,8.7
"39",1,"Stormwater Drainage","",472.8,472.5,487.1,495.1
"39",2,"Sewage Services","",1528.2,1709.6,1661.6,1921.6
"42",1,"Energy Supply; Electrical, Gas and Nuclear Safety","",130.9,124.7,135.3,130.8
"42",2,"Mechanical Installations Safety","",159.1,159.7,158.3,103.5
"42",3,"Energy Efficiency and Conservation, and Alternative Energy","",142.3,155.3,140.9,150.3
"42",4,"Centralised Services and Special Support","",70.6,73.2,75.6,77.8
"44",1,"Waste","",1778.0,2304.0,2049.3,2561.6
"44",2,"Air","",710.3,4056.9,3640.5,3928.7
"44",3,"Noise","",108.5,112.1,114.7,117.5
"44",4,"Water","",270.0,273.8,279.6,284.1
"44",5,"Environmental Assessment and Planning","",87.9,92.9,96.0,97.2
"44",6,"Nature Conservation","",6.6,8.7,8.9,7.0
"45",1,"Fire Service","",2901.0,3181.9,3119.5,3396.5
"45",2,"Fire Protection and Prevention","",369.8,386.2,399.2,401.5
"45",3,"Ambulance Service","",1406.0,1439.1,1476.8,1582.4
"46",1,"General Expenses of the Civil Service","",2809.9,3170.4,3050.4,3351.7
"47",1,"Use of Information Technology (IT) in Government","",534.2,544.0,554.1,555.0
"47",2,"IT Infrastructure and Standards","",51.5,52.5,53.2,66.5
"47",3,"IT in the Community","",85.1,93.7,92.3,93.2
"48",1,"Statutory Testing","",186.9,206.3,204.0,208.5
"48",2,"Advisory and Investigative Services","",72.4,79.9,82.3,85.9
"48",3,"Forensic Science Services","",150.2,149.6,147.3,151.4
"49",1,"Food Safety and Public Health","",915.6,972.2,995.7,1010.9
"49",2,"Environmental Hygiene and Related Services","",2829.6,2997.5,3084.9,3191.5
"49",3,"Market Management and Hawker Control","",1560.9,1671.2,1688.3,1693.4
"49",4,"Public Education and Community Involvement","",23.3,26.3,26.1,28.2
"51",1,"Acquisition and Allocation","",747.9,803.1,800.0,791.6
"51",2,"Property Management","",1068.9,1022.9,1023.5,1058.8
"51",3,"Estate Utilisation","",49.5,47.2,49.1,51.0
"53",1,"Director of Bureau's Office","",11.0,11.0,11.2,11.2
"53",2,"Social Harmony and Civic Education","",246.0,366.4,362.2,449.4
"53",3,"District, Community, and Public Relations","",15032.9,38.3,43.0,36.1
"53",4,"Recreation, Sport and Entertainment Licensing","",121.6,105.8,124.8,134.9
"53",5,"Culture","",160.4,141.1,138.6,154.6
"53",6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups","Hong Kong Academy for Performing Arts",289.4,297.6,304.8,302.1
"53",6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups","Hong Kong Arts Development Council",101.8,128.5,129.4,124.1
"53",6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups","Major Performing Arts Groups",302.8,334.6,334.6,334.6
"53",7,"Subvention: Duty Lawyer Service and Legal Aid Services Council","Duty Lawyer Service",117.4,117.6,119.9,119.9
"53",7,"Subvention: Duty Lawyer Service and Legal Aid Services Council","Legal Aid Services Council ",4.9,5.4,5.6,6.0
"55",1,"Broadcasting and Creative Industries","",281.0,298.0,290.6,322.6
"55",2,"Telecommunications","",15.8,16.9,13.9,17.8
"59",1,"Procurement","",57.6,57.8,50.4,49.7
"59",2,"Supplies Management","",73.6,78.9,84.6,79.1
"59",3,"Land Transport","",176.5,187.3,190.5,198.2
"59",4,"Printing Services","",204.3,213.2,211.7,224.0
"60",1,"Capital Projects","",346.9,368.6,375.9,387.9
"60",2,"District and Maintenance Works","",1277.5,1314.8,1369.3,1363.7
"60",3,"Railway Development","",108.5,102.9,109.9,112.6
"60",4,"Technical Services","",752.9,763.5,767.3,775.6
"62",1,"Building Control","",102.8,129.1,132.7,135.1
"62",2,"Private Housing","",58.3,63.8,68.6,65.9
"62",3,"Appeal Panel (Housing)","",8.3,8.3,10.6,10.7
"62",4,"Rehousing of Occupants upon Clearance","",19.8,20.8,23.4,23.4
"62",5,"Support Services","",21.0,39.1,37.2,45.3
"63",1,"District Administration","",720.5,823.9,821.8,952.0
"63",2,"Community Building","",956.1,1049.0,1087.6,1088.3
"63",3,"Local Environmental Improvements","",213.0,230.5,223.5,244.6
"63",4,"Licensing","",60.0,59.2,62.8,63.6
"63",5,"Territory Planning and Development","",20.8,20.9,21.6,22.5
"70",1,"Pre-entry Control","",259.5,265.3,276.2,280.7
"70",2,"Control upon Entry","",1921.2,1989.7,2056.3,2110.7
"70",3,"Control after Entry","",783.9,804.2,835.1,845.5
"70",4,"Personal Documentation","",616.3,613.2,640.6,651.2
"70",5,"Nationality and Assistance to HKSAR Residents outside Hong Kong","",21.7,21.7,22.6,22.2
"72",1,"Corruption Prevention","",60.5,65.4,65.9,66.4
"72",2,"Operations","",696.8,714.1,748.3,752.7
"72",3,"Preventive Education","",74.7,77.6,75.9,78.2
"72",4,"Enlisting Support","",77.1,80.0,78.4,80.6
"74",1,"Public Relations Outside Hong Kong","",79.7,86.2,87.5,103.3
"74",2,"Local Public Relations and Public Information","",182.5,190.8,190.0,206.3
"74",3,"Public Opinion","",20.4,21.2,23.6,24.0
"74",4,"Civic Responsibility","",40.6,43.2,42.8,48.0
"74",5,"Publishing","",68.0,67.4,71.9,68.1
"76",1,"Assessing Functions","",958.4,1003.4,1034.4,1046.6
"76",2,"Collection","",147.8,153.9,158.2,160.9
"76",3,"Investigation and Field Audit","",201.2,207.0,214.6,217.2
"76",4,"Taxpayer Services","",24.4,25.2,26.1,26.4
"78",1,"Statutory Functions","",92.0,98.2,99.0,99.6
"78",2,"Protection of Intellectual Property","",29.6,35.3,36.8,37.9
"79",1,"Investment Promotion","",116.1,115.0,116.0,115.1
"80",1,"Courts, Tribunals and Various Statutory Functions","",907.7,1032.0,967.7,1085.6
"80",2,"Support Services for Courts' Operation","",290.9,324.6,318.9,351.6
"82",1,"Buildings and Building Works","",1106.3,1175.9,1159.7,1243.1
"90",1,"Labour Relations","",134.3,155.5,149.4,157.9
"90",2,"Employment Services","",782.9,998.2,861.5,954.9
"90",3,"Safety and Health at Work","",418.1,428.6,436.3,453.1
"90",4,"Employees' Rights and Benefits","",306.0,330.1,332.8,352.1
"91",1,"Land Administration","",1527.7,1593.9,1624.5,1671.5
"91",2,"Survey and Mapping","",497.9,500.5,525.2,526.3
"91",3,"Legal Advice","",62.3,67.7,67.2,67.8
"92",1,"Prosecutions","",538.9,577.6,659.5,711.7
"92",2,"Civil","",583.0,941.6,793.6,967.7
"92",3,"Legal Policy","",88.5,114.5,110.6,116.9
"92",4,"Law Drafting","",92.0,104.3,105.0,115.0
"92",5,"International Law","",49.4,57.2,56.6,68.7
"94",1,"Processing of Legal Aid Applications","",96.7,97.9,99.9,100.5
"94",2,"Litigation Services","",695.8,685.2,685.4,691.3
"94",3,"Support Services","",34.1,35.4,39.0,40.0
"94",4,"Official Solicitor's Office","",14.9,14.7,16.7,13.3
"95",1,"Recreation and Sports","",3182.6,3223.7,3330.7,3566.5
"95",2,"Horticulture and Amenities","",831.6,895.7,883.2,952.2
"95",3,"Heritage and Museums","",720.2,781.9,793.7,834.3
"95",4,"Performing Arts","",978.0,985.7,1034.4,1039.2
"95",5,"Public Libraries","",874.6,1002.3,990.9,1090.5
"96",1,"Commercial Relations","",150.1,161.0,158.5,171.3
"96",2,"Public Relations","",112.0,118.0,116.6,126.2
"96",3,"Investment Promotion","",52.1,54.5,53.8,58.3
"100",1,"Infrastructure","",51.0,51.1,53.5,53.9
"100",2,"Port Services","",381.1,422.0,432.3,432.7
"100",3,"Local Services","",104.4,124.7,138.7,121.9
"100",4,"Services to Ships","",85.3,94.2,97.4,92.6
"100",5,"Government Fleet","",438.9,464.5,474.4,477.0
"112",1,"Members' Offices and Remuneration","",221.9,211.0,210.9,228.1
"112",2,"Council Business Services","",335.0,378.2,384.0,388.4
"112",3,"Legal Service","",44.9,44.7,49.7,49.6
"112",4,"Redress System","",20.1,19.5,23.3,22.9
"112",5,"Library and Archives Services","",28.3,32.1,32.4,34.4
"112",6,"Corporate Liaison and Education and Visitor Services","",29.5,32.2,31.6,35.2
"114",1,"Complaints Administration","",102.5,102.8,107.2,107.1
"116",1,"Official Receiver's Office","",139.8,147.6,149.9,154.4
"118",1,"Territorial Planning","",90.0,116.4,117.4,126.9
"118",2,"District Planning","",336.8,363.2,360.3,369.1
"118",3,"Town Planning Information Services","",23.6,27.2,28.2,29.5
"118",4,"Technical Services","",95.5,101.1,101.3,104.3
"120",1,"Public and Judicial Service Pension Benefits","",23889.2,27291.1,26508.8,29689.1
"120",2,"War Memorial Pensions/Volunteer Pensions","",24.3,26.0,23.3,23.3
"121",1,"Police Complaints Administration","",50.9,56.0,57.6,57.3
