總目,綱領編號,綱領,機構,"2014-15","2015-16","2015-16","2016-17"
21,1,行政長官辦公室,,80.0,80.2,83.4,87.5
21,2,行政會議,,21.1,21.3,23.3,23.0
22,1,漁農事宜及新鮮副食品批發市場,,257.7,320.8,281.4,313.5
22,2,自然護理及郊野公園,,578.8,608.9,600.4,669.1
22,3,動植物及漁業監管及技術服務,,303.5,303.8,304.7,335.5
23,1,醫療輔助服務,,81.6,87.3,87.3,99.1
24,1,審核帳目是否妥善的工作,,46.8,49.3,52.6,55.5
24,2,衡工量值式審計工作,,101.8,103.3,106.9,105.6
25,1,監察及諮詢服務,,273.8,263.2,278.3,281.9
25,2,設施保養,,946.6,978.5,995.2,1010.5
25,3,設施發展,,611.2,650.6,674.3,683.6
26,1,貿易統計,,161.5,169.1,165.2,170.0
26,2,社會統計,,111.2,143.5,148.4,246.5
26,3,國民經濟核算及國際收支平衡統計,,77.8,84.8,79.1,83.8
26,4,綜合統計服務,,30.2,32.5,31.6,33.4
26,5,物價／工業／服務業統計,,146.1,159.3,155.2,152.6
26,6,勞工統計,,79.4,86.1,79.7,82.2
27,1,民眾安全服務,,98.4,99.5,99.5,106.4
28,1,飛行標準,,101.4,106.4,107.6,115.6
28,2,機場安全標準,,46.4,52.4,52.7,52.2
28,3,航空交通管理,,383.2,402.0,415.5,425.8
28,4,航空交通工程服務,,301.3,300.0,302.5,306.9
28,5,航班事務及安全管理,,41.5,40.7,43.8,43.2
28,6,飛機乘客離境稅的管理,,1.8,1.9,1.9,2.0
30,1,監獄管理,,2523.7,2556.6,2616.7,2643.0
30,2,重新融入社會,,941.5,963.1,992.6,1012.8
31,1,管制及執法,,2296.4,2442.2,2451.8,2541.8
31,2,緝毒調查,,191.9,195.1,199.9,200.4
31,3,保護知識產權及消費者權益,,307.0,324.5,307.6,307.5
31,4,保障稅收及徵收稅款,,174.6,178.2,185.8,186.2
31,5,貿易管制,,172.6,176.9,187.3,196.2
33,1,旅遊及康樂發展,,44.5,45.4,47.2,47.7
33,2,港口及海事設施,,210.5,218.2,223.2,221.4
33,3,提供土地及基礎設施,,434.3,463.0,481.3,553.1
33,4,斜坡安全及岩土工程標準,,342.0,348.2,361.8,364.3
33,5,綠化及工程技術服務,,128.6,126.7,130.7,131.3
33,6,監管採礦、採石及爆炸品,,72.4,76.3,79.6,75.7
33,7,管理拆建物料,,910.1,946.0,944.4,1178.0
33,8,就發展建議提供意見,,33.3,34.1,35.4,35.7
37,1,法定職責,,684.9,719.3,755.5,870.9
37,2,預防疾病,受資助機構,64.1,99.1,97.1,94.6
37,2,預防疾病,政府機構,2676.5,2911.5,3099.5,3750.6
37,3,促進健康,受資助機構,97.6,95.5,96.8,99.0
37,3,促進健康,政府機構,252.9,295.9,299.0,317.2
37,4,醫療護理,受資助機構,3.2,3.3,3.3,3.4
37,4,醫療護理,政府機構,875.4,839.6,818.7,925.0
37,5,康復服務,,107.3,110.2,114.9,129.6
37,6,治療吸毒者,受資助機構,109.9,113.6,117.7,119.0
37,6,治療吸毒者,政府機構,48.7,41.4,37.6,42.5
37,7,公務員醫療及牙科服務,,1050.9,1232.4,1145.5,1429.2
37,8,任職醫院管理局公務員的人事管理,,8.9,8.7,9.1,9.1
39,1,雨水排放,,487.1,495.1,496.5,509.5
39,2,污水處理服務,,1661.8,1921.6,1902.1,2061.2
42,1,能源供應；電氣、氣體及核電安全,,134.7,130.8,137.3,141.5
42,2,機械裝置安全,,160.3,103.5,105.2,124.6
42,3,能源效益、節約能源及新能源,,138.8,150.3,130.0,144.3
42,4,中央式服務及特別支援,,75.5,77.8,80.3,79.0
44,1,廢物,,2015.0,2561.6,2274.9,2588.6
44,2,空氣,,3639.4,3928.7,3474.7,2371.9
44,3,噪音,,113.9,117.5,117.8,123.3
44,4,水,,277.6,284.1,284.7,292.8
44,5,環境評估及規劃,,95.3,97.2,97.4,102.9
44,6,自然保育,,8.8,7.0,6.8,7.6
45,1,消防服務,,3116.8,3396.5,3438.6,3446.0
45,2,防火工作,,399.8,401.5,438.0,449.2
45,3,救護服務,,1452.3,1582.4,1567.7,1702.4
46,1,公務員一般開支,,2984.3,3351.7,3170.7,3507.7
47,1,政府內部資訊科技的使用,,554.0,555.0,562.4,560.8
47,2,資訊科技基建及標準,,53.3,66.5,64.9,80.7
47,3,社會對資訊科技的使用,,87.5,93.2,91.9,101.9
48,1,法定化驗,,182.6,208.5,207.8,218.6
48,2,諮詢及檢測事務,,82.2,85.9,85.4,88.0
48,3,法證事務,,144.0,151.4,159.3,158.4
49,1,食物安全及公共衞生,,991.5,1010.9,1025.0,1033.7
49,2,環境衞生及有關服務,,3050.3,3191.5,3238.0,3440.3
49,3,街市及小販管理,,1692.8,1693.4,1744.3,1896.0
49,4,公眾教育及市民參與,,27.9,28.2,29.8,31.9
51,1,獲取及分配產業,,793.4,791.6,787.2,742.4
51,2,物業管理,,1028.7,1058.8,1064.1,1148.9
51,3,產業的使用,,49.1,51.0,50.1,51.4
53,1,局長辦公室,,11.3,11.2,12.3,12.2
53,2,社會和諧及公民教育,,339.8,449.4,428.0,513.7
53,3,地區、社區及公眾關係,,37.7,36.1,44.1,55.8
53,4,康樂、體育及娛樂事務發牌,,134.7,134.9,153.2,182.1
53,5,文化,,153.5,154.6,157.0,173.5
53,6,資助金：香港演藝學院、香港藝術發展局及主要演藝團體,主要演藝團體,334.6,334.6,334.6,334.6
53,6,資助金：香港演藝學院、香港藝術發展局及主要演藝團體,香港演藝學院,303.5,302.1,313.9,309.3
53,6,資助金：香港演藝學院、香港藝術發展局及主要演藝團體,香港藝術發展局,126.4,124.1,124.7,124.4
53,7,資助金：當值律師服務及法律援助服務局,法律援助服務局,5.2,6.0,6.2,6.2
53,7,資助金：當值律師服務及法律援助服務局,當值律師服務,115.3,119.9,122.0,129.8
55,1,廣播及創意產業,,282.5,322.6,296.1,392.3
55,2,電訊,,12.8,17.8,15.1,22.1
59,1,採購,,50.4,49.7,51.8,53.4
59,2,物料供應管理,,77.1,79.1,78.2,84.3
59,3,車輛管理,,198.5,198.2,200.3,239.4
59,4,印刷服務,,210.5,224.0,219.5,225.4
60,1,基本工程,,373.8,387.9,411.1,444.3
60,2,區域及維修工程,,1356.8,1363.7,1373.3,1526.3
60,3,鐵路發展,,102.7,112.6,118.0,125.5
60,4,技術服務,,777.3,775.6,756.6,819.1
62,1,屋宇管制,,120.3,135.1,136.9,141.7
62,2,私營房屋,,64.8,65.9,68.1,78.1
62,3,上訴委員會（房屋）,,9.6,10.7,11.2,11.0
62,4,安置受清拆影響居民,,21.2,23.4,24.2,23.9
62,5,支援服務,,34.6,45.3,47.0,32.9
63,1,地區行政,,810.2,952.0,987.3,963.8
63,2,社區建設,,1082.9,1088.3,1113.2,1079.8
63,3,地區環境改善工程,,227.6,244.6,237.6,259.4
63,4,發牌事宜,,63.3,63.6,67.9,66.9
63,5,全港規劃及拓展事宜,,21.9,22.5,23.1,23.5
70,1,入境前管制,,272.9,280.7,290.4,308.3
70,2,入境時管制,,2049.0,2110.7,2173.7,2296.2
70,3,入境後管制,,836.5,845.5,873.2,933.2
70,4,個人證件,,647.8,651.2,668.4,706.5
70,5,國籍事宜及為在香港以外地方的香港特區居民提供協助,,22.7,22.2,23.0,23.9
72,1,防止貪污,,66.6,66.4,71.9,71.6
72,2,執法工作,,744.2,752.7,779.6,782.1
72,3,倡廉教育,,74.0,78.2,78.6,77.7
72,4,爭取支持,,76.4,80.6,81.1,80.2
