Head,Programme No.,Programme Name,Sector,"2014-15
(Actual)
($m)","2015-16
(Original)
($m)","2015-16
(Revised)
($m)","2016-17
(Estimate)
($m)"
21,1,Chief Executive's Office,,80.0,80.2,83.4,87.5
21,2,Executive Council,,21.1,21.3,23.3,23.0
22,1,"Agriculture, Fisheries and Fresh Food Wholesale Markets",,257.7,320.8,281.4,313.5
22,2,Nature Conservation and Country Parks,,578.8,608.9,600.4,669.1
22,3,"Animal, Plant and Fisheries Regulation and Technical Services",,303.5,303.8,304.7,335.5
23,1,Auxiliary Medical Service,,81.6,87.3,87.3,99.1
24,1,Regularity Audit,,46.8,49.3,52.6,55.5
24,2,Value for Money Audit,,101.8,103.3,106.9,105.6
25,1,Monitoring and Advisory Services,,273.8,263.2,278.3,281.9
25,2,Facilities Upkeep,,946.6,978.5,995.2,1010.5
25,3,Facilities Development,,611.2,650.6,674.3,683.6
26,1,Trade Statistics,,161.5,169.1,165.2,170.0
26,2,Social Statistics,,111.2,143.5,148.4,246.5
26,3,National Accounts and Balance of Payments Statistics,,77.8,84.8,79.1,83.8
26,4,General Statistical Services,,30.2,32.5,31.6,33.4
26,5,Price/Industry/Service Statistics,,146.1,159.3,155.2,152.6
26,6,Labour Statistics,,79.4,86.1,79.7,82.2
27,1,Civil Aid Service,,98.4,99.5,99.5,106.4
28,1,Flight Standards,,101.4,106.4,107.6,115.6
28,2,Airport Standards,,46.4,52.4,52.7,52.2
28,3,Air Traffic Management,,383.2,402.0,415.5,425.8
28,4,Air Traffic Engineering Services,,301.3,300.0,302.5,306.9
28,5,Air Services and Safety Management,,41.5,40.7,43.8,43.2
28,6,Air Passenger Departure Tax Administration,,1.8,1.9,1.9,2.0
30,1,Prison Management,,2523.7,2556.6,2616.7,2643.0
30,2,Re-integration,,941.5,963.1,992.6,1012.8
31,1,Control and Enforcement,,2296.4,2442.2,2451.8,2541.8
31,2,Anti-narcotics Investigation,,191.9,195.1,199.9,200.4
31,3,Intellectual Property Rights and Consumer Protection,,307.0,324.5,307.6,307.5
31,4,Revenue Protection and Collection,,174.6,178.2,185.8,186.2
31,5,Trade Controls,,172.6,176.9,187.3,196.2
33,1,Tourism and Recreational Development,,44.5,45.4,47.2,47.7
33,2,Port and Marine Facilities,,210.5,218.2,223.2,221.4
33,3,Provision of Land and Infrastructure,,434.3,463.0,481.3,553.1
33,4,Slope Safety and Geotechnical Standards,,342.0,348.2,361.8,364.3
33,5,Greening and Technical Services,,128.6,126.7,130.7,131.3
33,6,"Supervision of Mining, Quarrying and Explosives",,72.4,76.3,79.6,75.7
33,7,Management of Construction and Demolition Materials,,910.1,946.0,944.4,1178.0
33,8,Advice on Development Proposals,,33.3,34.1,35.4,35.7
37,1,Statutory Functions,,684.9,719.3,755.5,870.9
37,2,Disease Prevention,Government sector,2676.5,2911.5,3099.5,3750.6
37,2,Disease Prevention,Subvented sector,64.1,99.1,97.1,94.6
37,3,Health Promotion,Government sector,252.9,295.9,299.0,317.2
37,3,Health Promotion,Subvented sector,97.6,95.5,96.8,99.0
37,4,Curative Care,Government sector,875.4,839.6,818.7,925.0
37,4,Curative Care,Subvented sector,3.2,3.3,3.3,3.4
37,5,Rehabilitation,,107.3,110.2,114.9,129.6
37,6,Treatment of Drug Abusers,Government sector,48.7,41.4,37.6,42.5
37,6,Treatment of Drug Abusers,Subvented sector,109.9,113.6,117.7,119.0
37,7,Medical and Dental Treatment for Civil Servants,,1050.9,1232.4,1145.5,1429.2
37,8,Personnel Management of Civil Servants Working in Hospital Authority,,8.9,8.7,9.1,9.1
39,1,Stormwater Drainage,,487.1,495.1,496.5,509.5
39,2,Sewage Services,,1661.8,1921.6,1902.1,2061.2
42,1,"Energy Supply; Electrical, Gas and Nuclear Safety",,134.7,130.8,137.3,141.5
