Head,HeadName,SameHeadStartFlag,Programme No.,Programme Name,Sector,2013-14-Actual,"2014-15
(Original)
($m)","2014-15
(Revised)
($m)","2015-16
(Estimate)
($m)"
21,Chief Executive's Office,1,1,Chief Executive's Office,,74,78.3,80.3,80.2
21,Chief Executive's Office,0,2,Executive Council,,20.5,20.8,21,21.3
22,Agriculture Fisheries and Conservation Department ,1,1,"Agriculture, Fisheries and Fresh Food Wholesale Markets",,313,519,304.2,320.8
22,Agriculture Fisheries and Conservation Department ,0,2,Nature Conservation and Country Parks,,546.7,583,591.7,608.9
22,Agriculture Fisheries and Conservation Department ,0,3,"Animal, Plant and Fisheries Regulation and Technical Services",,290.2,293.8,298.4,303.8
23,Auxiliary Medical Service,1,1,Auxiliary Medical Service,,74.3,80.6,80.6,87.3
24,Audit Commission,1,1,Regularity Audit,,44.8,46.9,47,49.3
24,Audit Commission,0,2,Value for Money Audit,,93.5,97.5,102.2,103.3
25,Architectural Services Department,1,1,Monitoring and Advisory Services,,241.5,248.4,258.8,263.2
25,Architectural Services Department,0,2,Facilities Upkeep,,915.9,938.6,948,978.5
25,Architectural Services Department,0,3,Facilities Development,,603.1,619.7,636.3,650.6
26,Census and Statistics Department,1,1,Trade Statistics,,150.7,161.4,158.5,169.1
26,Census and Statistics Department,0,2,Social Statistics,,78.5,109.2,99.9,143.5
26,Census and Statistics Department,0,3,National Accounts and Balance of Payments Statistics,,78.3,80.3,78.8,84.8
26,Census and Statistics Department,0,4,General Statistical Services,,30.8,32.3,30.2,32.5
26,Census and Statistics Department,0,5,Price/Industry/Service Statistics,,139.5,150.2,144.1,159.3
26,Census and Statistics Department,0,6,Labour Statistics,,79.2,81.7,79.8,86.1
27,Civil Aid Service,1,1,Civil Aid Service,,96.2,95.7,97,99.5
28,Civil Aviation Department,1,1,Flight Standards,,97.8,102.5,103.1,106.4
28,Civil Aviation Department,0,2,Airport Standards,,43.5,45.1,46.7,52.4
28,Civil Aviation Department,0,3,Air Traffic Management,,367.5,382,387.6,402
28,Civil Aviation Department,0,4,Air Traffic Engineering Services,,313.5,286.2,298.8,300
28,Civil Aviation Department,0,5,Air Services and Safety Management,,31,44.5,43.3,40.7
28,Civil Aviation Department,0,6,Air Passenger Departure Tax Administration,,2.3,1.8,1.8,1.9
30,Correctional Services Department,1,1,Prison Management,,2355.2,2460.1,2515.5,2556.6
30,Correctional Services Department,0,2,Re-integration,,923.6,906.8,935.9,963.1
31,Customs and Excise Department,1,1,Control and Enforcement,,2162.6,2227.9,2300,2442.2
31,Customs and Excise Department,0,2,Anti-narcotics Investigation,,186.8,183.6,190.7,195.1
31,Customs and Excise Department,0,3,Intellectual Property Rights and Consumer Protection,,290.5,314.9,321,324.5
31,Customs and Excise Department,0,4,Revenue Protection and Collection,,169.6,169.5,176,178.2
31,Customs and Excise Department,0,5,Trade Controls,,151.4,160.7,176,176.9
33,Civil Engineering and Development Department,1,1,Tourism and Recreational Development,,42.7,43.2,44.9,45.4
33,Civil Engineering and Development Department,0,2,Port and Marine Facilities,,201.8,204.4,208.5,218.2
33,Civil Engineering and Development Department,0,3,Provision of Land and Infrastructure,,358.9,425.1,436.5,463
33,Civil Engineering and Development Department,0,4,Slope Safety and Geotechnical Standards,,325,334.9,344.4,348.2
33,Civil Engineering and Development Department,0,5,Greening and Technical Services,,120,124.4,129.1,126.7
33,Civil Engineering and Development Department,0,6,"Supervision of Mining, Quarrying and Explosives",,70.8,71,73.6,76.3
33,Civil Engineering and Development Department,0,7,Management of Construction and Demolition Materials,,694.9,885.1,886.8,946
33,Civil Engineering and Development Department,0,8,Advice on Development Proposals,,31.8,32.3,33.6,34.1
37,Department of Health,1,1,Statutory Functions,,628.6,654.5,670.4,719.3
37,Department of Health,0,2,Disease Prevention,Government sector,2581.8,2834.4,2696,2911.5
37,Department of Health,0,2,Disease Prevention,Subvented sector,48.6,73.3,71,99.1
37,Department of Health,0,3,Health Promotion,Government sector,250.2,272.6,279.5,295.9
37,Department of Health,0,3,Health Promotion,Subvented sector,86.9,89.5,97.5,95.5
37,Department of Health,0,4,Curative Care,Government sector,806.5,817.3,837.6,839.6
37,Department of Health,0,4,Curative Care,Subvented sector,3.1,3.2,3.2,3.3
37,Department of Health,0,5,Rehabilitation,,98.2,102.1,102.9,110.2
37,Department of Health,0,6,Treatment of Drug Abusers,Government sector,52.6,42.6,42,41.4
37,Department of Health,0,6,Treatment of Drug Abusers,Subvented sector,105.4,106.8,110.4,113.6
37,Department of Health,0,7,Medical and Dental Treatment for Civil Servants,,936,1088.7,1087.7,1232.4
37,Department of Health,0,8,Personnel Management of Civil Servants Working in Hospital Authority,,8.2,8.2,8.3,8.7
39,Drainage Services Department,1,1,Stormwater Drainage,,472.8,472.5,487.1,495.1
39,Drainage Services Department,0,2,Sewage Services,,1528.2,1709.6,1661.6,1921.6
42,Electrical and Mechanical Services Department,1,1,"Energy Supply; Electrical, Gas and Nuclear Safety",,130.9,124.7,135.3,130.8
42,Electrical and Mechanical Services Department,0,2,Mechanical Installations Safety,,159.1,159.7,158.3,103.5
42,Electrical and Mechanical Services Department,0,3,"Energy Efficiency and Conservation, and Alternative Energy",,142.3,155.3,140.9,150.3
42,Electrical and Mechanical Services Department,0,4,Centralised Services and Special Support,,70.6,73.2,75.6,77.8
44,Environmental Protection Department,1,1,Waste,,1778,2304,2049.3,2561.6
44,Environmental Protection Department,0,2,Air,,710.3,4056.9,3640.5,3928.7
44,Environmental Protection Department,0,3,Noise,,108.5,112.1,114.7,117.5
44,Environmental Protection Department,0,4,Water,,270,273.8,279.6,284.1
44,Environmental Protection Department,0,5,Environmental Assessment and Planning,,87.9,92.9,96,97.2
44,Environmental Protection Department,0,6,Nature Conservation,,6.6,8.7,8.9,7
45,Fire Services Department,1,1,Fire Service,,2901,3181.9,3119.5,3396.5
45,Fire Services Department,0,2,Fire Protection and Prevention,,369.8,386.2,399.2,401.5
45,Fire Services Department,0,3,Ambulance Service,,1406,1439.1,1476.8,1582.4
46,General Expenses of the Civil Service,1,1,General Expenses of the Civil Service,,2809.9,3170.4,3050.4,3351.7
47,Government Secretariat: Office of the Government Chief Information Officer,1,1,Use of Information Technology (IT) in Government,,534.2,544,554.1,555
47,Government Secretariat: Office of the Government Chief Information Officer,0,2,IT Infrastructure and Standards,,51.5,52.5,53.2,66.5
47,Government Secretariat: Office of the Government Chief Information Officer,0,3,IT in the Community,,85.1,93.7,92.3,93.2
48,Government Laboratory,1,1,Statutory Testing,,186.9,206.3,204,208.5
48,Government Laboratory,0,2,Advisory and Investigative Services,,72.4,79.9,82.3,85.9
48,Government Laboratory,0,3,Forensic Science Services,,150.2,149.6,147.3,151.4
49,Food and Environmental Hygiene Department,1,1,Food Safety and Public Health,,915.6,972.2,995.7,1010.9
49,Food and Environmental Hygiene Department,0,2,Environmental Hygiene and Related Services,,2829.6,2997.5,3084.9,3191.5
49,Food and Environmental Hygiene Department,0,3,Market Management and Hawker Control,,1560.9,1671.2,1688.3,1693.4
49,Food and Environmental Hygiene Department,0,4,Public Education and Community Involvement,,23.3,26.3,26.1,28.2
51,Government Property Agency,1,1,Acquisition and Allocation,,747.9,803.1,800,791.6
51,Government Property Agency,0,2,Property Management,,1068.9,1022.9,1023.5,1058.8
51,Government Property Agency,0,3,Estate Utilisation,,49.5,47.2,49.1,51
53,Government Secretariat: Home Affairs Bureau,1,1,Director of Bureau's Office,,11,11,11.2,11.2
53,Government Secretariat: Home Affairs Bureau,0,2,Social Harmony and Civic Education,,246,366.4,362.2,449.4
53,Government Secretariat: Home Affairs Bureau,0,3,"District, Community, and Public Relations",,15032.9,38.3,43,36.1
53,Government Secretariat: Home Affairs Bureau,0,4,"Recreation, Sport and Entertainment Licensing",,121.6,105.8,124.8,134.9
53,Government Secretariat: Home Affairs Bureau,0,5,Culture,,160.4,141.1,138.6,154.6
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Hong Kong Academy for Performing Arts,289.4,297.6,304.8,302.1
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Hong Kong Arts Development Council,101.8,128.5,129.4,124.1
53,Government Secretariat: Home Affairs Bureau,0,6,"Subvention: Hong Kong Academy for Performing Arts, Hong Kong Arts Development Council and Major Performing Arts Groups",Major Performing Arts Groups,302.8,334.6,334.6,334.6
53,Government Secretariat: Home Affairs Bureau,0,7,Subvention: Duty Lawyer Service and Legal Aid Services Council,Duty Lawyer Service,117.4,117.6,119.9,119.9
53,Government Secretariat: Home Affairs Bureau,0,7,Subvention: Duty Lawyer Service and Legal Aid Services Council,Legal Aid Services Council ,4.9,5.4,5.6,6
55,Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch),1,1,Broadcasting and Creative Industries,,281,298,290.6,322.6
55,Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch),0,2,Telecommunications,,15.8,16.9,13.9,17.8
59,Government Logistics Department,1,1,Procurement,,57.6,57.8,50.4,49.7
59,Government Logistics Department,0,2,Supplies Management,,73.6,78.9,84.6,79.1
59,Government Logistics Department,0,3,Land Transport,,176.5,187.3,190.5,198.2
59,Government Logistics Department,0,4,Printing Services,,204.3,213.2,211.7,224
60,Highways Department,1,1,Capital Projects,,346.9,368.6,375.9,387.9
60,Highways Department,0,2,District and Maintenance Works,,1277.5,1314.8,1369.3,1363.7
60,Highways Department,0,3,Railway Development,,108.5,102.9,109.9,112.6
60,Highways Department,0,4,Technical Services,,752.9,763.5,767.3,775.6
62,Housing Department,1,1,Building Control,,102.8,129.1,132.7,135.1
62,Housing Department,0,2,Private Housing,,58.3,63.8,68.6,65.9
62,Housing Department,0,3,Appeal Panel (Housing),,8.3,8.3,10.6,10.7
62,Housing Department,0,4,Rehousing of Occupants upon Clearance,,19.8,20.8,23.4,23.4
62,Housing Department,0,5,Support Services,,21,39.1,37.2,45.3
63,Home Affairs Department,1,1,District Administration,,720.5,823.9,821.8,952
63,Home Affairs Department,0,2,Community Building,,956.1,1049,1087.6,1088.3
63,Home Affairs Department,0,3,Local Environmental Improvements,,213,230.5,223.5,244.6
63,Home Affairs Department,0,4,Licensing,,60,59.2,62.8,63.6
63,Home Affairs Department,0,5,Territory Planning and Development,,20.8,20.9,21.6,22.5
70,Immigration Department,1,1,Pre-entry Control,,259.5,265.3,276.2,280.7
70,Immigration Department,0,2,Control upon Entry,,1921.2,1989.7,2056.3,2110.7
70,Immigration Department,0,3,Control after Entry,,783.9,804.2,835.1,845.5
70,Immigration Department,0,4,Personal Documentation,,616.3,613.2,640.6,651.2
70,Immigration Department,0,5,Nationality and Assistance to HKSAR Residents outside Hong Kong,,21.7,21.7,22.6,22.2
72,Independent Commission Against Corruption,1,1,Corruption Prevention,,60.5,65.4,65.9,66.4
72,Independent Commission Against Corruption,0,2,Operations,,696.8,714.1,748.3,752.7
72,Independent Commission Against Corruption,0,3,Preventive Education,,74.7,77.6,75.9,78.2
72,Independent Commission Against Corruption,0,4,Enlisting Support,,77.1,80,78.4,80.6
74,Information Services Department,1,1,Public Relations Outside Hong Kong,,79.7,86.2,87.5,103.3
74,Information Services Department,0,2,Local Public Relations and Public Information,,182.5,190.8,190,206.3
74,Information Services Department,0,3,Public Opinion,,20.4,21.2,23.6,24
74,Information Services Department,0,4,Civic Responsibility,,40.6,43.2,42.8,48
74,Information Services Department,0,5,Publishing,,68,67.4,71.9,68.1
76,Inland Revenue Department,1,1,Assessing Functions,,958.4,1003.4,1034.4,1046.6
76,Inland Revenue Department,0,2,Collection,,147.8,153.9,158.2,160.9
76,Inland Revenue Department,0,3,Investigation and Field Audit,,201.2,207,214.6,217.2
76,Inland Revenue Department,0,4,Taxpayer Services,,24.4,25.2,26.1,26.4
78,Intellectual Property Department,1,1,Statutory Functions,,92,98.2,99,99.6
78,Intellectual Property Department,0,2,Protection of Intellectual Property,,29.6,35.3,36.8,37.9
79,Invest Hong Kong,1,1,Investment Promotion,,116.1,115,116,115.1
