Head,HeadName,SameHeadStartFlag,Programme No.,Programme Name,Sector,2015-16-Actual,"2016-17
(Original)
($m)","2016-17
(Revised)
($m)","2017-18
(Estimate)
($m)"
21,Chief Executive's Office,1,1,Chief Executive's Office,,83,87.5,87.7,92.9
21,Chief Executive's Office,0,2,Executive Council,,23.2,23,23.8,24.5
22,Agriculture Fisheries and Conservation Department ,1,1,"Agriculture, Fisheries and Fresh Food Wholesale Markets",,268,313.5,301.2,453
22,Agriculture Fisheries and Conservation Department ,0,2,Nature Conservation and Country Parks,,591.4,669.1,659.2,715.5
22,Agriculture Fisheries and Conservation Department ,0,3,"Animal, Plant and Fisheries Regulation and Technical Services",,305.1,335.5,325.1,353.3
23,Auxiliary Medical Service,1,1,Auxiliary Medical Service,,84.8,99.1,99.1,97.9
24,Audit Commission,1,1,Regularity Audit,,52.2,55.5,55.3,57.5
24,Audit Commission,0,2,Value for Money Audit,,106.2,105.6,109.6,111.7
25,Architectural Services Department,1,1,Monitoring and Advisory Services,,284,281.9,297.7,302.2
25,Architectural Services Department,0,2,Facilities Upkeep,,994.1,1010.5,1026.1,1032
25,Architectural Services Department,0,3,Facilities Development,,666.5,683.6,704.3,708.8
26,Census and Statistics Department,1,1,Trade Statistics,,168.3,170,173.8,176.2
26,Census and Statistics Department,0,2,Social Statistics,,153.2,246.5,258.5,126.2
26,Census and Statistics Department,0,3,National Accounts and Balance of Payments Statistics,,80.1,83.8,85.6,87.7
26,Census and Statistics Department,0,4,General Statistical Services,,32,33.4,33.3,33.8
26,Census and Statistics Department,0,5,Price/Industry/Service Statistics,,153.9,152.6,150.8,153.6
26,Census and Statistics Department,0,6,Labour Statistics,,81.5,82.2,86.1,88.3
27,Civil Aid Service,1,1,Civil Aid Service,,99.4,106.4,106.6,109.5
28,Civil Aviation Department,1,1,Flight Standards,,104.6,115.6,113,126.8
28,Civil Aviation Department,0,2,Airport Standards,,51.4,52.2,51.2,57.1
28,Civil Aviation Department,0,3,Air Traffic Management,,409.3,425.8,430.3,451.9
28,Civil Aviation Department,0,4,Air Traffic Engineering Services,,300.1,306.9,311.5,304.9
28,Civil Aviation Department,0,5,Air Services and Safety Management,,42.5,43.2,49,51.9
28,Civil Aviation Department,0,6,Air Passenger Departure Tax Administration,,1.9,2,2,2.1
30,Correctional Services Department,1,1,Prison Management,,2621.7,2643,2722,2804.9
30,Correctional Services Department,0,2,Re-integration,,1001.9,1012.8,1021,1034.2
31,Customs and Excise Department,1,1,Control and Enforcement,,2417,2541.8,2606.4,2706.8
31,Customs and Excise Department,0,2,Anti-narcotics Investigation,,200.7,200.4,209.3,212.3
31,Customs and Excise Department,0,3,Intellectual Property Rights and Consumer Protection,,302.2,307.5,333.4,333.8
31,Customs and Excise Department,0,4,Revenue Protection and Collection,,185.9,186.2,193.7,198.3
31,Customs and Excise Department,0,5,Trade Controls,,186.6,196.2,201.5,201.7
33,Civil Engineering and Development Department,1,1,Tourism and Recreational Development,,46.8,47.7,49.3,49.4
33,Civil Engineering and Development Department,0,2,Port and Marine Facilities,,226.6,221.4,259.8,244.7
33,Civil Engineering and Development Department,0,3,Provision of Land and Infrastructure,,479.1,553.1,524.9,592.1
33,Civil Engineering and Development Department,0,4,Slope Safety and Geotechnical Standards,,359.1,364.3,372.7,377.6
33,Civil Engineering and Development Department,0,5,Greening and Technical Services,,130.4,131.3,135.9,136.6
33,Civil Engineering and Development Department,0,6,"Supervision of Mining, Quarrying and Explosives",,78.1,75.7,79.5,75.9
33,Civil Engineering and Development Department,0,7,Management of Construction and Demolition Materials,,918.4,1178,1180,1332.1
33,Civil Engineering and Development Department,0,8,Advice on Development Proposals,,35.1,35.7,36.4,37.1
37,Department of Health,1,1,Statutory Functions,,750.2,870.9,891,937.8
37,Department of Health,0,2,Disease Prevention,Government sector,3010.2,3750.6,3383.2,4561.4
37,Department of Health,0,2,Disease Prevention,Subvented sector,87.1,94.6,96.4,98.6
37,Department of Health,0,3,Health Promotion,Government sector,269.7,317.2,305.5,314.6
37,Department of Health,0,3,Health Promotion,Subvented sector,96.8,99,100.3,94
37,Department of Health,0,4,Curative Care,Government sector,974.6,925,910.7,939.6
37,Department of Health,0,4,Curative Care,Subvented sector,3.3,3.4,3.4,3.5
37,Department of Health,0,5,Rehabilitation,,111.8,129.6,132.1,131.8
37,Department of Health,0,6,Treatment of Drug Abusers,Government sector,56.3,42.5,41.1,44.5
37,Department of Health,0,6,Treatment of Drug Abusers,Subvented sector,117.1,119,120.9,123.5
37,Department of Health,0,7,Medical and Dental Treatment for Civil Servants,,1133.2,1429.2,1359.4,1521.9
37,Department of Health,0,8,Personnel Management of Civil Servants Working in Hospital Authority,,8.8,9.1,9.5,9.6
39,Drainage Services Department,1,1,Stormwater Drainage,,495.8,509.5,514.8,529
39,Drainage Services Department,0,2,Sewage Services,,1897.6,2061.2,2080.2,2107.7
42,Electrical and Mechanical Services Department,1,1,"Energy Supply; Electrical, Gas and Nuclear Safety",,136.3,141.5,147.8,145.8
42,Electrical and Mechanical Services Department,0,2,Mechanical Installations Safety,,104.8,124.6,129.1,130.6
42,Electrical and Mechanical Services Department,0,3,"Energy Efficiency and Conservation, and Alternative Energy",,130.2,144.3,120.4,308.9
42,Electrical and Mechanical Services Department,0,4,Centralised Services and Special Support,,79.3,79,81.4,82.9
44,Environmental Protection Department,1,1,Waste,,2220.4,2588.6,2356,3148.8
44,Environmental Protection Department,0,2,Air,,2839.7,2371.9,2087.1,2440.8
44,Environmental Protection Department,0,3,Noise,,117.6,123.3,124.8,127.4
44,Environmental Protection Department,0,4,Water,,283.5,292.8,293.5,301.6
44,Environmental Protection Department,0,5,Environmental Assessment and Planning,,97.1,102.9,104,107.3
44,Environmental Protection Department,0,6,Nature Conservation,,6.8,7.6,7.8,7.8
45,Fire Services Department,1,1,Fire Service,,3421.9,3446,3425,3708.9
45,Fire Services Department,0,2,Fire Protection and Prevention,,444.5,449.2,483.1,520.2
45,Fire Services Department,0,3,Ambulance Service,,1598.6,1702.4,1653,1820.7
46,General Expenses of the Civil Service,1,1,General Expenses of the Civil Service,,3104,3507.7,3339.8,3826.7
